,GeneID,padj,P.Value,lfcSE,stat,logFC,baseMean,Gene.symbol,Description
527,967,4.51e-07,1.03e-08,0.2484,5.725582,1.4219718,10809.06,CD63,CD63 molecule
528,7076,4.66e-07,1.07e-08,0.4328,5.719868,2.4754194,2297.6,TIMP1,TIMP metallopeptidase inhibitor 1
529,153770,4.83e-07,1.11e-08,0.2962,-5.71346,-1.6925105,49.27,PLAC8L1,PLAC8 like 1
530,284948,4.95e-07,1.14e-08,0.6767,-5.70886,-3.8629789,119.39,SH2D6,SH2 domain containing 6
531,101927422,4.98e-07,1.15e-08,0.4851,-5.707451,-2.7685833,86.02,GNA14-AS1,GNA14 antisense RNA 1
532,5792,5e-07,1.15e-08,0.2775,5.706746,1.5835069,7892.52,PTPRF,protein tyrosine phosphatase receptor type F
533,105374519,5.1e-07,1.18e-08,0.5496,-5.702969,-3.1343003,50.84,LOC105374519,
534,5629,5.1e-07,1.18e-08,0.6756,-5.70245,-3.8525425,1387.14,PROX1,prospero homeobox 1
535,3045,5.2e-07,1.21e-08,0.9735,-5.698873,-5.5479908,73.59,HBD,hemoglobin subunit delta
536,51015,5.22e-07,1.21e-08,0.1403,5.697788,0.7996224,763.23,ISOC1,isochorismatase domain containing 1
537,79789,5.22e-07,1.21e-08,0.3307,-5.697837,-1.8840025,1401.28,CLMN,calmin
538,100506885,5.23e-07,1.22e-08,0.3805,-5.696942,-2.1674505,474.01,LNC-LBCS,"lncRNA bladder and prostate cancer suppressor, hnRNPK interacting"
539,440104,5.28e-07,1.23e-08,0.216,-5.694987,-1.2303675,267.06,TMEM198B,transmembrane protein 198B (pseudogene)
540,57495,5.41e-07,1.26e-08,0.8952,-5.690748,-5.0943327,41.87,NWD2,NACHT and WD repeat domain containing 2
541,392490,5.41e-07,1.27e-08,0.3235,5.690393,1.8407551,61.74,FLJ44635,replaced by ID 340527
542,219983,5.42e-07,1.27e-08,1.2438,5.689801,7.076977,21.71,OR4D6,olfactory receptor family 4 subfamily D member 6
543,6503,5.43e-07,1.28e-08,0.3666,-5.689152,-2.0855499,9871.83,SLA,Src like adaptor
544,10720,5.44e-07,1.28e-08,0.6328,-5.688507,-3.5994844,43.56,UGT2B11,UDP glucuronosyltransferase family 2 member B11
545,3099,5.7e-07,1.35e-08,0.2663,5.680161,1.5124531,2404.61,HK2,hexokinase 2
546,51043,5.83e-07,1.38e-08,0.1654,5.675928,0.9387353,1649.26,ZBTB7B,zinc finger and BTB domain containing 7B
547,11076,5.9e-07,1.4e-08,0.3818,-5.673467,-2.1660741,837.16,TPPP,tubulin polymerization promoting protein
548,64094,5.94e-07,1.41e-08,0.5372,-5.672154,-3.0470223,1731.9,SMOC2,SPARC related modular calcium binding 2
549,7288,6.2e-07,1.47e-08,0.8365,-5.664449,-4.7382389,36.37,TULP2,TUB like protein 2
550,27147,6.41e-07,1.53e-08,0.2505,-5.658437,-1.4173786,158.1,DENND2A,DENN domain containing 2A
551,185,6.69e-07,1.6e-08,0.6884,-5.650884,-3.889902,104.6,AGTR1,angiotensin II receptor type 1
552,6330,6.69e-07,1.6e-08,0.3292,-5.650354,-1.859907,703.51,SCN4B,sodium voltage-gated channel beta subunit 4
553,64641,6.79e-07,1.63e-08,0.3012,-5.647396,-1.7008239,284.21,EBF2,EBF transcription factor 2
554,55301,6.79e-07,1.63e-08,0.7558,5.647233,4.2681464,80.87,OLAH,oleoyl-ACP hydrolase
555,10743,6.79e-07,1.64e-08,0.2298,5.646724,1.2978841,1869.99,RAI1,retinoic acid induced 1
556,100505495,6.79e-07,1.63e-08,0.2874,-5.646848,-1.622805,171.76,PCAT19,prostate cancer associated transcript 19
557,105374397,6.8e-07,1.64e-08,0.3887,-5.646226,-2.194631,45.74,LOC105374397,uncharacterized LOC105374397
558,10349,6.93e-07,1.68e-08,0.4295,-5.642488,-2.4232283,656.49,ABCA10,ATP binding cassette subfamily A member 10
559,6857,6.94e-07,1.68e-08,0.5627,5.641898,3.1746536,176.57,SYT1,synaptotagmin 1
560,26040,7.06e-07,1.71e-08,0.1674,-5.638725,-0.9442026,2999.17,SETBP1,SET binding protein 1
561,2810,7.08e-07,1.72e-08,0.8233,5.637703,4.6414008,155.82,SFN,stratifin
562,143903,7.08e-07,1.72e-08,0.456,-5.637975,-2.570799,500.16,LAYN,layilin
563,23479,7.09e-07,1.73e-08,0.1836,5.637179,1.035046,2589.21,ISCU,iron-sulfur cluster assembly enzyme
564,285220,7.1e-07,1.73e-08,0.6012,-5.636581,-3.3884573,164.31,EPHA6,EPH receptor A6
565,4486,7.22e-07,1.77e-08,0.3644,5.633415,2.0525938,406.46,MST1R,macrophage stimulating 1 receptor
566,29119,7.27e-07,1.78e-08,0.5433,-5.631796,-3.0599146,30.95,CTNNA3,catenin alpha 3
567,3426,7.47e-07,1.84e-08,0.3419,5.626636,1.9235968,1446.05,CFI,complement factor I
568,221662,7.47e-07,1.84e-08,0.8124,-5.626295,-4.5708626,17.46,RBM24,RNA binding motif protein 24
569,687,7.47e-07,1.84e-08,0.2029,-5.626399,-1.1416609,2118.5,KLF9,KLF transcription factor 9
570,8643,7.68e-07,1.9e-08,0.3413,-5.620629,-1.918526,95.25,PTCH2,patched 2
571,288,7.68e-07,1.9e-08,0.2334,-5.620798,-1.3120117,4254.66,ANK3,ankyrin 3
572,105369806,7.68e-07,1.9e-08,1.1863,5.620699,6.6678717,16.37,LOC105369806,uncharacterized LOC105369806
573,64866,7.74e-07,1.92e-08,0.2885,5.618854,1.6207705,2064.83,CDCP1,CUB domain containing protein 1
574,1187,7.92e-07,1.97e-08,0.6657,-5.614615,-3.7376945,120.99,CLCNKA,chloride voltage-gated channel Ka
575,340485,7.96e-07,1.98e-08,0.339,5.61341,1.9029894,1018.53,ACER2,alkaline ceramidase 2
576,8848,7.98e-07,1.99e-08,0.1733,5.612854,0.9726787,8785.27,TSC22D1,TSC22 domain family member 1
577,3293,8.07e-07,2.02e-08,0.3836,-5.610471,-2.1519161,233.93,HSD17B3,hydroxysteroid 17-beta dehydrogenase 3
578,105374963,8.1e-07,2.03e-08,0.4783,-5.609595,-2.6833466,158.87,LOC105374963,uncharacterized LOC105374963
579,57528,8.18e-07,2.06e-08,0.6189,-5.607166,-3.4703897,563.77,KCTD16,potassium channel tetramerization domain containing 16
580,443,8.18e-07,2.06e-08,0.4462,-5.607304,-2.502204,78.52,ASPA,aspartoacylase
581,105378558,8.37e-07,2.11e-08,0.3332,-5.602981,-1.8668529,163.53,EBF3-AS1,EBF3 antisense RNA 1
582,201283,8.42e-07,2.12e-08,0.1546,-5.601766,-0.8657877,245.15,AMZ2P1,AMZ2 pseudogene 1
583,8739,8.83e-07,2.23e-08,0.6797,5.593194,3.8018629,429.98,HRK,"harakiri, BCL2 interacting protein"
584,3708,8.89e-07,2.25e-08,0.4792,-5.591636,-2.679278,8263.16,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1"
585,10810,9.28e-07,2.35e-08,0.3535,-5.583804,-1.9738965,996.02,WASF3,WASP family member 3
586,55722,9.32e-07,2.37e-08,0.1159,-5.582853,-0.6473318,470.63,CEP72,centrosomal protein 72
587,83478,9.36e-07,2.38e-08,0.467,-5.581785,-2.6065941,1155.21,ARHGAP24,Rho GTPase activating protein 24
588,58494,9.37e-07,2.39e-08,0.2593,-5.581398,-1.4470417,571.29,JAM2,junctional adhesion molecule 2
589,4192,9.53e-07,2.43e-08,0.4345,5.578057,2.4238484,301.68,MDK,midkine
590,132299,9.65e-07,2.47e-08,0.244,5.575568,1.3605277,895.54,OCIAD2,OCIA domain containing 2
591,3081,9.69e-07,2.48e-08,0.5791,-5.574373,-3.2281192,1129.86,HGD,"homogentisate 1,2-dioxygenase"
592,101928590,9.69e-07,2.48e-08,0.92,-5.574641,-5.1287779,21.28,GPM6A-DT,GPM6A divergent transcript
593,105376171,9.71e-07,2.49e-08,0.2685,-5.573643,-1.4966932,46.96,LOC105376171,
594,56895,9.89e-07,2.54e-08,0.3886,-5.570236,-2.164543,679.92,AGPAT4,1-acylglycerol-3-phosphate O-acyltransferase 4
595,23558,1.01e-06,2.6e-08,0.2293,5.566162,1.2760932,1453.48,WBP2,WW domain binding protein 2
596,483,1.01e-06,2.61e-08,0.2447,5.565669,1.36204,1660.04,ATP1B3,ATPase Na+/K+ transporting subunit beta 3
597,6307,1.02e-06,2.63e-08,0.1781,5.56447,0.9912843,1290.62,MSMO1,methylsterol monooxygenase 1
598,23678,1.02e-06,2.64e-08,0.1372,5.56395,0.763136,904.65,SGK3,serum/glucocorticoid regulated kinase family member 3
599,100144602,1.04e-06,2.71e-08,1.1079,-5.558995,-6.1586413,25.54,EPHA5-AS1,EPHA5 antisense RNA 1
600,100505475,1.04e-06,2.71e-08,0.7186,-5.559111,-3.9946425,320.38,SYNE1-AS1,SYNE1 antisense RNA 1
601,9961,1.07e-06,2.78e-08,0.3326,5.554766,1.8477832,3022.14,MVP,major vault protein
602,54587,1.07e-06,2.79e-08,0.2821,5.55412,1.566587,1372.43,MXRA8,matrix remodeling associated 8
603,201627,1.08e-06,2.82e-08,0.1498,-5.552287,-0.8318391,1945.81,DENND6A,DENN domain containing 6A
604,105374959,1.11e-06,2.91e-08,0.462,-5.546543,-2.5624176,174.72,LOC105374959,
605,6747,1.13e-06,2.97e-08,0.1571,5.543134,0.8708236,6896.57,SSR3,signal sequence receptor subunit 3
606,471,1.14e-06,2.99e-08,0.2608,5.542104,1.4453231,1925.0,ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
607,7049,1.17e-06,3.07e-08,0.2386,-5.537336,-1.3211429,1405.68,TGFBR3,transforming growth factor beta receptor 3
608,7917,1.17e-06,3.07e-08,0.1608,5.537401,0.8906801,4538.47,BAG6,BAG cochaperone 6
609,127833,1.19e-06,3.13e-08,0.2894,-5.534116,-1.6016845,171.83,SYT2,synaptotagmin 2
610,4919,1.19e-06,3.13e-08,0.3956,5.533754,2.1890623,372.81,ROR1,receptor tyrosine kinase like orphan receptor 1
611,166647,1.23e-06,3.25e-08,0.3718,-5.527401,-2.0553549,2742.77,ADGRA3,adhesion G protein-coupled receptor A3
612,4512,1.24e-06,3.29e-08,0.2524,5.525339,1.3946287,198334.66,COX1,cytochrome c oxidase subunit I
613,353500,1.25e-06,3.33e-08,0.6413,-5.523058,-3.5421366,2656.85,BMP8A,bone morphogenetic protein 8a
614,1149,1.25e-06,3.33e-08,1.2237,-5.523116,-6.7588543,15.68,CIDEA,cell death inducing DFFA like effector a
615,8673,1.28e-06,3.41e-08,0.2084,5.518976,1.1502529,1461.16,VAMP8,vesicle associated membrane protein 8
616,5897,1.32e-06,3.52e-08,0.6148,-5.513543,-3.3894557,72.5,RAG2,recombination activating 2
617,862,1.33e-06,3.55e-08,0.4492,-5.511729,-2.476137,820.2,RUNX1T1,RUNX1 partner transcriptional co-repressor 1
618,25894,1.34e-06,3.59e-08,0.3616,5.509941,1.9922747,456.04,PLEKHG4,pleckstrin homology and RhoGEF domain containing G4
619,4300,1.35e-06,3.63e-08,0.252,-5.507909,-1.3877771,1261.49,MLLT3,MLLT3 super elongation complex subunit
620,105373392,1.41e-06,3.79e-08,1.2236,-5.500406,-6.730416,15.41,LOC105373392,replaced by ID 105373480
621,9076,1.42e-06,3.83e-08,0.6586,5.498455,3.621375,9553.82,CLDN1,claudin 1
622,102723927,1.48e-06,3.99e-08,0.3525,-5.491301,-1.9354156,235.22,LINC01238,long intergenic non-protein coding RNA 1238
623,5143,1.48e-06,3.99e-08,0.6979,5.49132,3.8324418,328.96,PDE4C,phosphodiesterase 4C
624,1545,1.48e-06,4.01e-08,0.5752,5.490371,3.1580913,1958.96,CYP1B1,cytochrome P450 family 1 subfamily B member 1
625,107985989,1.48e-06,4.02e-08,0.7958,-5.490154,-4.3691224,36.53,LOC107985989,
626,23654,1.49e-06,4.03e-08,0.2634,5.489373,1.4456625,12003.38,PLXNB2,plexin B2
627,107986575,1.5e-06,4.06e-08,0.4458,-5.488028,-2.4466969,96.57,LOC107986575,uncharacterized LOC107986575
628,101927935,1.5e-06,4.09e-08,0.627,-5.486898,-3.4402669,44.66,LOC101927935,replaced by ID 4920
629,11156,1.51e-06,4.12e-08,0.392,5.48564,2.150448,646.08,PTP4A3,protein tyrosine phosphatase 4A3
630,84034,1.53e-06,4.17e-08,0.3724,5.483471,2.0417975,1197.13,EMILIN2,elastin microfibril interfacer 2
631,84570,1.56e-06,4.25e-08,0.4921,-5.480109,-2.696543,265.3,COL25A1,collagen type XXV alpha 1 chain
632,678,1.57e-06,4.29e-08,0.2225,-5.478541,-1.218923,8711.15,ZFP36L2,ZFP36 ring finger protein like 2
633,51096,1.61e-06,4.43e-08,0.1642,5.47292,0.8985357,1360.36,UTP18,UTP18 small subunit processome component
634,283078,1.62e-06,4.44e-08,0.6052,5.472305,3.3117932,291.6,MKX,mohawk homeobox
635,202018,1.62e-06,4.47e-08,0.1222,-5.471312,-0.6684357,1258.94,TAPT1,transmembrane anterior posterior transformation 1
636,101927003,1.63e-06,4.48e-08,0.4393,-5.470807,-2.403105,82.68,PKIA-AS1,PKIA antisense RNA 1
637,5091,1.63e-06,4.5e-08,0.385,5.470104,2.1061431,1032.29,PC,pyruvate carboxylase
638,375616,1.64e-06,4.54e-08,0.5975,5.46863,3.2675818,206.71,KCP,kielin cysteine rich BMP regulator
639,56893,1.65e-06,4.57e-08,0.1868,5.467469,1.0213412,1182.82,UBQLN4,ubiquilin 4
640,84936,1.66e-06,4.6e-08,0.1764,5.465936,0.9642515,527.49,ZFYVE19,zinc finger FYVE-type containing 19
641,1512,1.67e-06,4.63e-08,0.4735,5.465012,2.5876112,5653.45,CTSH,cathepsin H
642,54549,1.7e-06,4.72e-08,0.527,-5.461401,-2.8782793,282.86,SDK2,sidekick cell adhesion molecule 2
643,128414,1.75e-06,4.87e-08,0.645,5.456133,3.5190382,63.55,NKAIN4,sodium/potassium transporting ATPase interacting 4
644,140706,1.75e-06,4.88e-08,0.228,-5.455506,-1.2437852,143.94,CCM2L,CCM2 like scaffold protein
645,2525,1.76e-06,4.91e-08,1.3438,5.454449,7.3296164,42.2,FUT3,fucosyltransferase 3 (Lewis blood group)
646,102466865,1.83e-06,5.11e-08,0.4221,-5.447389,-2.2994008,681.06,MIR7848,microRNA 7848
647,101927066,1.83e-06,5.15e-08,0.3704,-5.446132,-2.0174534,119.59,LOC101927066,uncharacterized LOC101927066
648,121256,1.83e-06,5.15e-08,0.6473,5.446122,3.5250447,65.01,TMEM132D,transmembrane protein 132D
649,27087,1.86e-06,5.23e-08,0.3338,5.443473,1.8169141,897.61,B3GAT1,"beta-1,3-glucuronyltransferase 1"
650,607,1.9e-06,5.36e-08,0.158,5.438961,0.8592672,1330.48,BCL9,BCL9 transcription coactivator
651,105375179,1.92e-06,5.41e-08,0.9624,-5.437236,-5.2326278,50.73,LOC105375179,uncharacterized LOC105375179
652,595,1.93e-06,5.44e-08,0.4174,5.43627,2.2688761,13046.74,CCND1,cyclin D1
653,5581,1.93e-06,5.46e-08,0.3181,-5.435703,-1.7293148,1662.15,PRKCE,protein kinase C epsilon
654,92196,1.93e-06,5.47e-08,0.44,5.435363,2.3913053,203.57,DAPL1,death associated protein like 1
655,202151,1.94e-06,5.5e-08,0.4834,-5.434462,-2.6270082,290.76,RANBP3L,RAN binding protein 3 like
656,2273,1.96e-06,5.58e-08,0.4829,-5.43188,-2.6228386,7507.46,FHL1,four and a half LIM domains 1
657,2044,1.98e-06,5.65e-08,0.8713,-5.429646,-4.730708,296.72,EPHA5,EPH receptor A5
658,3815,2.05e-06,5.84e-08,0.6647,-5.423484,-3.6050059,3771.42,KIT,"KIT proto-oncogene, receptor tyrosine kinase"
659,894,2.07e-06,5.92e-08,0.222,5.421242,1.2037835,27248.19,CCND2,cyclin D2
660,374462,2.08e-06,5.95e-08,0.5762,-5.42037,-3.1231281,634.04,PTPRQ,protein tyrosine phosphatase receptor type Q
661,2115,2.08e-06,5.97e-08,0.3,5.419648,1.6258304,1005.52,ETV1,ETS variant transcription factor 1
662,216,2.08e-06,5.97e-08,0.3216,-5.419786,-1.742876,4906.46,ALDH1A1,aldehyde dehydrogenase 1 family member A1
663,57568,2.09e-06,6e-08,0.2685,5.418921,1.454747,2883.59,SIPA1L2,signal induced proliferation associated 1 like 2
664,221400,2.1e-06,6.03e-08,0.3862,-5.417943,-2.0925601,365.23,TDRD6,tudor domain containing 6
665,105378924,2.13e-06,6.14e-08,0.4344,5.414599,2.351854,166.3,LOC105378924,uncharacterized LOC105378924
666,105378571,2.13e-06,6.14e-08,0.8284,-5.414775,-4.4856142,16.45,LOC105378571,uncharacterized LOC105378571
667,5873,2.15e-06,6.21e-08,0.3723,5.412636,2.0149037,4237.72,RAB27A,"RAB27A, member RAS oncogene family"
668,105373218,2.21e-06,6.4e-08,0.2968,-5.407282,-1.6050645,241.47,LOC105373218,uncharacterized LOC105373218
669,1014,2.21e-06,6.39e-08,0.8093,-5.407423,-4.3761038,871.58,CDH16,cadherin 16
670,7866,2.21e-06,6.41e-08,0.2158,5.407002,1.1666921,739.29,IFRD2,interferon related developmental regulator 2
671,63916,2.21e-06,6.44e-08,0.1332,5.406216,0.7201175,1877.81,ELMO2,engulfment and cell motility 2
672,1211,2.3e-06,6.68e-08,0.24,5.399443,1.2960495,1618.31,CLTA,clathrin light chain A
673,55835,2.32e-06,6.77e-08,0.5696,-5.397079,-3.0744363,1279.36,CENPJ,centromere protein J
674,105375170,2.34e-06,6.83e-08,0.3499,5.395581,1.8877093,257.39,LOC105375170,uncharacterized LOC105375170
675,7046,2.37e-06,6.92e-08,0.272,5.393217,1.466914,5328.84,TGFBR1,transforming growth factor beta receptor 1
676,642633,2.37e-06,6.93e-08,1.0314,5.393031,5.5625925,69.19,FAM230B,family with sequence similarity 230 member B
677,2196,2.37e-06,6.94e-08,0.2953,5.392736,1.5922197,372.72,FAT2,FAT atypical cadherin 2
678,729582,2.38e-06,6.99e-08,0.3391,-5.391376,-1.8284565,111.29,DIRC3,disrupted in renal carcinoma 3
679,11275,2.4e-06,7.06e-08,0.2437,5.38952,1.3133164,1620.11,KLHL2,kelch like family member 2
680,57617,2.4e-06,7.07e-08,0.1797,5.389314,0.9682694,1092.5,VPS18,VPS18 core subunit of CORVET and HOPS complexes
681,84191,2.4e-06,7.09e-08,0.1626,5.388991,0.8761029,1503.27,CIAO2A,cytosolic iron-sulfur assembly component 2A
682,107987148,2.4e-06,7.1e-08,0.5004,5.388716,2.6964549,70.08,LOC107987148,
683,101928988,2.41e-06,7.12e-08,0.4468,5.388007,2.4075508,1712.13,LOC101928988,uncharacterized LOC101928988
684,8645,2.42e-06,7.17e-08,0.2292,5.386857,1.2346239,1033.94,KCNK5,potassium two pore domain channel subfamily K member 5
685,58986,2.46e-06,7.29e-08,0.2563,5.383816,1.379634,1036.03,PGAP6,post-GPI attachment to proteins 6
686,389432,2.46e-06,7.31e-08,0.4613,-5.383369,-2.4832326,218.98,SAMD5,sterile alpha motif domain containing 5
687,101927086,2.48e-06,7.38e-08,0.3092,-5.381553,-1.6638349,100.48,KLF9-DT,KLF9 divergent transcript
688,5566,2.49e-06,7.41e-08,0.1004,5.380996,0.5404069,960.28,PRKACA,protein kinase cAMP-activated catalytic subunit alpha
689,107984256,2.51e-06,7.5e-08,0.7273,5.378851,3.9122406,58.5,LOC107984256,uncharacterized LOC107984256
690,10793,2.54e-06,7.6e-08,0.2536,-5.376471,-1.3636651,642.36,ZNF273,zinc finger protein 273
691,441027,2.55e-06,7.64e-08,0.2652,-5.375479,-1.4253522,451.29,TMEM150C,transmembrane protein 150C
692,105372579,2.55e-06,7.63e-08,0.2928,-5.375637,-1.5739589,55.13,LOC105372579,uncharacterized LOC105372579
693,6578,2.55e-06,7.67e-08,0.2487,-5.374817,-1.3369639,1694.56,SLCO2A1,solute carrier organic anion transporter family member 2A1
694,2047,2.6e-06,7.83e-08,0.3762,-5.371069,-2.020342,637.14,EPHB1,EPH receptor B1
695,6886,2.61e-06,7.85e-08,0.3071,-5.370433,-1.6494371,186.31,TAL1,"TAL bHLH transcription factor 1, erythroid differentiation factor"
696,100874334,2.61e-06,7.84e-08,0.8201,-5.370672,-4.4046287,83.09,TCF7L1-IT1,TCF7L1 intronic transcript 1
697,114907,2.63e-06,7.94e-08,0.2676,5.368453,1.4366909,2907.06,FBXO32,F-box protein 32
698,107985043,2.66e-06,8.07e-08,0.3884,-5.365631,-2.0839647,131.54,LOC107985043,uncharacterized LOC107985043
699,27328,2.66e-06,8.07e-08,0.8925,-5.365613,-4.788775,174.44,PCDH11X,protocadherin 11 X-linked
700,64420,2.69e-06,8.15e-08,0.3124,5.363838,1.6754931,943.8,SUSD1,sushi domain containing 1
701,105373649,2.79e-06,8.47e-08,0.9402,-5.356902,-5.036348,102.56,LOC105373649,uncharacterized LOC105373649
702,101927280,2.8e-06,8.51e-08,0.6429,-5.355928,-3.4433352,45.59,LINC02208,long intergenic non-protein coding RNA 2208
703,5714,2.81e-06,8.57e-08,0.1775,5.354767,0.9502606,1840.29,PSMD8,"proteasome 26S subunit, non-ATPase 8"
704,5152,2.87e-06,8.75e-08,0.3669,5.350973,1.9633708,408.55,PDE9A,phosphodiesterase 9A
705,101930370,2.89e-06,8.83e-08,0.3112,5.349349,1.6649285,248.66,GALNT7-DT,GALNT7 divergent transcript
706,6756,2.89e-06,8.83e-08,0.9016,5.349337,4.8231237,66.27,SSX1,SSX family member 1
707,101928923,2.93e-06,8.96e-08,0.4391,-5.346567,-2.3478987,173.06,LOC101928923,uncharacterized LOC101928923
708,123879,2.95e-06,9.05e-08,0.2163,5.34485,1.1560106,1732.3,DCUN1D3,defective in cullin neddylation 1 domain containing 3
709,57761,2.96e-06,9.1e-08,0.5219,5.343752,2.7891012,632.24,TRIB3,tribbles pseudokinase 3
710,105376426,3.01e-06,9.25e-08,0.4263,-5.340787,-2.277041,113.35,LOC105376426,uncharacterized LOC105376426
711,255239,3.01e-06,9.28e-08,0.2937,-5.340306,-1.5686909,80.07,ANKK1,ankyrin repeat and kinase domain containing 1
712,22915,3.03e-06,9.33e-08,0.823,-5.339319,-4.3940053,1556.14,MMRN1,multimerin 1
713,107986661,3.05e-06,9.43e-08,1.016,-5.337327,-5.4229102,57.46,LOC107986661,uncharacterized LOC107986661
714,100996539,3.12e-06,9.65e-08,0.5148,-5.333192,-2.745362,32.28,ITPR1-DT,ITPR1 divergent transcript
715,105373581,3.13e-06,9.71e-08,0.2529,5.332109,1.3484585,95.95,LOC105373581,uncharacterized LOC105373581
716,84253,3.13e-06,9.7e-08,0.2928,-5.332269,-1.5615453,530.41,GARNL3,GTPase activating Rap/RanGAP domain like 3
717,4646,3.15e-06,9.78e-08,0.1545,5.330729,0.8235853,3812.72,MYO6,myosin VI
718,105376834,3.16e-06,9.83e-08,0.8739,-5.329787,-4.6578461,18.32,LINC02596,long intergenic non-protein coding RNA 2596
719,84283,3.16e-06,9.85e-08,0.2749,5.329501,1.4648372,163.31,TMEM79,transmembrane protein 79
720,26232,3.2e-06,9.97e-08,0.3598,5.327241,1.9165244,190.89,FBXO2,F-box protein 2
721,80243,3.23e-06,1.01e-07,0.346,-5.325152,-1.8426432,1856.13,PREX2,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2"
722,105369666,3.26e-06,1.02e-07,0.7227,-5.32351,-3.8471612,25.62,LOC105369666,uncharacterized LOC105369666
723,105376609,3.26e-06,1.02e-07,1.0457,-5.322888,-5.5663926,130.25,MPPED2-AS1,MPPED2 antisense RNA 1
724,23582,3.29e-06,1.03e-07,0.1761,5.321087,0.9369145,3348.22,CCNDBP1,cyclin D1 binding protein 1
725,55034,3.29e-06,1.03e-07,0.42,5.320735,2.234757,231.45,MOCOS,molybdenum cofactor sulfurase
726,22993,3.37e-06,1.06e-07,0.1556,5.315962,0.8273232,2791.3,HMGXB3,HMG-box containing 3
727,2324,3.38e-06,1.06e-07,0.366,-5.315581,-1.945299,701.89,FLT4,fms related receptor tyrosine kinase 4
728,7570,3.47e-06,1.09e-07,0.1349,-5.310389,-0.7161952,1017.15,ZNF22,zinc finger protein 22
729,9515,3.48e-06,1.1e-07,0.8949,-5.309372,-4.7515735,1000.18,STXBP5L,syntaxin binding protein 5L
730,5066,3.5e-06,1.11e-07,0.2496,5.308489,1.3247354,9540.89,PAM,peptidylglycine alpha-amidating monooxygenase
731,4495,3.51e-06,1.11e-07,0.8472,-5.307773,-4.4969704,380.61,MT1G,metallothionein 1G
732,345895,3.53e-06,1.12e-07,0.2644,-5.306216,-1.4028606,108.15,RSPH4A,radial spoke head component 4A
733,54862,3.7e-06,1.17e-07,0.1477,5.297427,0.7826719,578.15,CC2D1A,coiled-coil and C2 domain containing 1A
734,23145,3.75e-06,1.19e-07,0.3711,-5.294809,-1.9646982,99.79,SSPOP,"SCO-spondin, pseudogene"
735,57556,3.76e-06,1.2e-07,0.2364,-5.293991,-1.2512403,915.37,SEMA6A,semaphorin 6A
736,6262,3.77e-06,1.2e-07,0.8052,-5.293382,-4.2621656,3714.97,RYR2,ryanodine receptor 2
737,9914,3.77e-06,1.2e-07,0.3576,-5.292885,-1.8927397,491.76,ATP2C2,ATPase secretory pathway Ca2+ transporting 2
738,10644,3.82e-06,1.22e-07,0.364,5.290399,1.9256481,1439.98,IGF2BP2,insulin like growth factor 2 mRNA binding protein 2
739,200081,3.86e-06,1.23e-07,0.126,5.288249,0.6665177,3483.27,TXLNA,taxilin alpha
740,112268280,3.94e-06,1.26e-07,0.5733,-5.284411,-3.0293564,246.99,LOC112268280,
741,23295,3.98e-06,1.28e-07,0.1581,5.281987,0.8348593,1542.62,MGRN1,mahogunin ring finger 1
742,55885,4.02e-06,1.29e-07,0.335,5.280065,1.769082,8718.01,LMO3,LIM domain only 3
743,727676,4.04e-06,1.3e-07,0.458,-5.278831,-2.4176993,235.02,SNORD118,"small nucleolar RNA, C/D box 118"
744,286006,4.05e-06,1.3e-07,0.1672,-5.278365,-0.8823691,271.73,LSMEM1,leucine rich single-pass membrane protein 1
745,284716,4.11e-06,1.33e-07,0.3578,-5.275115,-1.8876306,172.39,RIMKLA,ribosomal modification protein rimK like family member A
746,3866,4.12e-06,1.33e-07,0.8466,5.274383,4.4655357,49.64,KRT15,keratin 15
747,105372319,4.2e-06,1.36e-07,0.7225,-5.270725,-3.808317,30.21,LOC105372319,zinc finger protein 430-like
748,50507,4.24e-06,1.37e-07,0.3453,5.268886,1.8191131,301.51,NOX4,NADPH oxidase 4
749,23274,4.31e-06,1.4e-07,0.2037,5.265531,1.0726471,3358.47,CLEC16A,C-type lectin domain containing 16A
750,646278,4.32e-06,1.4e-07,0.5639,-5.264987,-2.9689961,57.54,PDCD6IPP2,PDCD6IP pseudogene 2
751,101927904,4.34e-06,1.41e-07,0.9463,-5.263923,-4.9812507,15.4,LINC02660,long intergenic non-protein coding RNA 2660
752,105376391,4.43e-06,1.44e-07,1.157,-5.25988,-6.0858997,9.92,LOC105376391,uncharacterized LOC105376391
753,57402,4.52e-06,1.47e-07,0.4288,5.255952,2.2538522,1893.82,S100A14,S100 calcium binding protein A14
754,25912,4.58e-06,1.5e-07,0.229,5.253151,1.2028201,4818.3,C1orf43,chromosome 1 open reading frame 43
755,24139,4.61e-06,1.51e-07,0.1708,5.251535,0.8969077,847.25,EML2,EMAP like 2
756,100289279,4.63e-06,1.52e-07,0.6269,-5.250599,-3.2915607,43.11,CNTNAP3C,contactin associated protein family member 3C
757,26123,4.7e-06,1.54e-07,0.2725,5.247453,1.4300729,3112.06,TCTN3,tectonic family member 3
758,9252,4.75e-06,1.56e-07,0.3481,-5.245538,-1.8260663,908.4,RPS6KA5,ribosomal protein S6 kinase A5
