Category,Term,Count,%,PValue,Genes,Fold Enrichment,FDR
CC,"chromosome, centromeric region",6,1.639344262,0.005828243,"CENPE, CENPF, CDCA8, KIF2C, SMC4, NDC80",5.207313997,0.068875476
CC,external side of plasma membrane,18,4.918032787,0.005996621,"CCR1, CD86, CD163, ITGAM, FCER1G, ITGA4, PLAUR, LRP2, THBS1, GFRA2, CLEC4A, NT5E, PLAU, KIT, KDR, CD9, CDH13, FOLR1",2.097988077,0.068875476
BP,positive regulation of phosphatidylinositol 3-kinase signaling,8,2.18579235,6.07E-04,"NTRK2, FLT1, KIT, CAT, KDR, FN1, PLXNB1, VEGFA",5.51799454,0.06939687
BP,mitotic sister chromatid segregation,6,1.639344262,6.10E-04,"NUSAP1, CDCA8, NEK2, SMC4, NDC80, MAD2L1",8.60371517,0.06939687
BP,positive regulation of phosphorylation,6,1.639344262,6.10E-04,"CSF1R, FLT1, KIT, KDR, THBS1, VEGFA",8.60371517,0.06939687
BP,positive regulation of protein kinase B signaling,12,3.278688525,6.26E-04,"NTRK2, CSF1R, FLT1, IGFBP5, KIT, KDR, FN1, PLXNB1, LRP2, HPSE, THBS1, VEGFA",3.534499205,0.06939687
BP,positive regulation of protein modification process,4,1.092896175,6.63E-04,"CSF1R, FLT1, KIT, NUPR1",21.79607843,0.070527414
CC,collagen trimer,7,1.912568306,0.006475728,"C1QB, C1QA, COL5A1, COL14A1, COL5A3, SERPINH1, TIMP1",4.200935938,0.072312295
CC,midbody,10,2.732240437,0.006708945,"CENPE, CENPF, PRC1, KIF14, CDCA8, KIF23, NEK2, ECT2, CEP55, AURKA",2.984791974,0.072891777
CC,basolateral plasma membrane,12,3.278688525,0.007018938,"SLC7A5, CXADR, SLC16A1, KCNJ16, ANK3, RAB17, ATP1B1, CDH16, FOLR1, SLC4A4, CD44, AURKA",2.593681301,0.074252974
BP,positive regulation of GTPase activity,12,3.278688525,7.81E-04,"CCL13, RGS16, RGN, PLXNB1, ECT2, ARHGAP6, RALGPS1, RAP1GAP, EZH2, MAP4K4, S100A10, TGM2",3.441486068,0.07990764
CC,lysosomal lumen,7,1.912568306,0.007897258,"CTSA, VCAN, ASAH1, SDC2, HPSE, FMOD, CTSS",4.029469165,0.081402508
MF,calcium ion binding,28,7.650273224,0.001306924,"RYR2, ITPR1, LRP2, AIF1, THBS1, LTBP1, LOXL2, PCLO, CDH1, MAN1C1, SLIT3, S100A11, S100A10, TGM2, LRP1B, CLEC4A, EHD2, PCP4, VCAN, PLCB4, MMRN1, RGN, EFHC1, CALU, CDH13, PLCH1, CDH16, S100A9",1.945932082,0.081623347
CC,MCM complex,3,0.819672131,0.008132918,"MCM4, MCM5, MCM6",21.15471311,0.081735827
CC,actin cytoskeleton,12,3.278688525,0.008344673,"ACTR2, MARCKS, ABLIM1, FLT1, WIPF1, CDH1, ARPC1B, MYO5C, SORBS2, IQGAP2, ARHGAP6, PDLIM7",2.535396328,0.081818497
MF,protein tyrosine kinase activity,9,2.459016393,0.001496659,"CSF1R, HCK, FLT1, CHKA, KIT, PBK, KDR, TTK, FGFR2",4.147907858,0.085683734
CC,sarcoplasmic reticulum,5,1.366120219,0.01013795,"RYR2, SGCD, ITPR1, ANK3, THBS1",5.876309199,0.097034663
CC,spindle midzone,4,1.092896175,0.011703628,"CENPE, KIF14, CDCA8, AURKA",8.357417527,0.109415314
BP,double-strand break repair via break-induced replication,4,1.092896175,0.001182588,"GINS2, MCM4, MCM5, MCM6",18.16339869,0.116506793
BP,positive regulation of interleukin-4 production,5,1.366120219,0.001387331,"CD86, SLC7A5, FCER1G, PRKCQ, IL1RAP",10.09077705,0.131796424
CC,centrosome,19,5.191256831,0.014537132,"BBS1, SLC16A1, KIF23, HMMR, NDC80, CDC25B, AURKA, CCNB2, CENPF, MARCKS, RRAGD, CHEK1, EFHC1, NEK2, KIF2C, OBSL1, DTL, CTSC, CEP55",1.860831246,0.132816524
CC,microtubule,13,3.551912568,0.015563306,"KIF14, PBXIP1, KIF23, KIF11, IQGAP2, AURKA, CENPE, TPX2, TUBB6, STMN1, NUSAP1, NEK2, KIF2C",2.215599359,0.139032203
CC,nucleoplasm,90,24.59016393,0.016242358,"FEN1, PPP1R13B, CITED2, IRS1, FOXM1, MKI67, SMC4, LOXL2, KYNU, CHEK1, POLI, KPNA4, NEK2, UPP1, MYBL1, CTSC, MAGI1, TLE2, CXADR, CIRBP, KIF23, FOS, DUSP7, CDC25B, CCNA2, DBF4, PAX8, ELF4, IVD, RRAGD, ADAM12, MCM4, MCM5, MCM6, NUPR1, CRYAB, S100A9, DTL, ASF1B, CSF1R, ZNF395, DNMT1, ADH1B, XPA, CDCA8, TWIST1, PRKX, PBXIP1, MLLT3, SAMHD1, NCAPH, AURKA, HIRA, NT5E, ALOX5, ECT2, PPARGC1A, BUB1, TSPAN1, PDLIM7, FANCI, EGR1, CBX7, GINS2, JUN, UBE2C, EYA2, ISG15, UPF3A, NDC80, ASS1, PBX1, PML, SRPK1, MLLT11, CENPE, TPX2, CENPF, UBE2S, PRC1, POLE2, BCL2, FOSB, ID3, CENPN, MNDA, HPSE, EZH1, EZH2, MAD2L1",1.245616081,0.141944086
CC,endoplasmic reticulum,32,8.743169399,0.017207789,"CDS1, SLC1A1, ITPR1, LRP2, HSD17B6, THBS1, TM7SF2, LOXL2, CLN5, CASP4, KDR, SERPINH1, MAN1C1, YKT6, TGM2, CTSA, TMEM30B, ANK3, FOS, CKAP4, ASS1, SRPK1, VEGFA, NPC1, SOAT1, SCD, CAT, APOC1, ALOX5AP, BCL2, CALU, PLP2",1.536342286,0.14718151
BP,cell proliferation,11,3.005464481,0.00167557,"OCA2, CSF1R, CITED2, SLC20A1, CKS2, TACC3, CD9, LRP2, TGFBI, MKI67, BUB1",3.367371668,0.149170514
BP,negative regulation of translation,8,2.18579235,0.001698157,"BTG2, IGFBP5, SHMT2, CIRBP, EIF4EBP1, IGF2BP2, TYMS, TOB1",4.637463496,0.149170514
BP,regulation of cell shape,10,2.732240437,0.001886423,"CCL13, CSF1R, HCK, KIT, KDR, FN1, PLXNB1, PLEKHO1, WASF3, VEGFA",3.608622257,0.149170514
BP,metaphase plate congression,4,1.092896175,0.001904186,"CENPE, CENPF, KIF2C, NDC80",15.56862745,0.149170514
BP,regulation of G2/M transition of mitotic cell cycle,4,1.092896175,0.001904186,"CENPF, PKIA, KIF14, AURKA",15.56862745,0.149170514
BP,spindle assembly involved in female meiosis I,3,0.819672131,0.001955616,"CCNB2, NDC80, AURKA",40.86764706,0.149170514
BP,response to cytokine,6,1.639344262,0.001966162,"BCL2, ACP5, FOS, TIMP1, TYMS, PML",6.672268908,0.149170514
BP,chromosome segregation,8,2.18579235,0.002034472,"CENPE, CENPF, TTK, CENPN, NEK2, BUB1, NDC80, SRPK1",4.49403679,0.149170514
BP,microglial cell activation,5,1.366120219,0.002074928,"C1QA, JUN, ITGAM, AIF1, TLR2",9.081699346,0.149170514
BP,cytoskeleton organization,10,2.732240437,0.002157747,"CCL13, ABLIM1, PCLO, MICAL2, SORBS2, ANK3, ADD3, OBSL1, LMNB2, WASF3",3.538324421,0.151042309
BP,intracellular signal transduction,19,5.191256831,0.002264884,"IGFBP5, SHC1, DAPK2, TREM1, SRPK1, HCK, CARHSP1, TYROBP, PLCB4, STK17A, KIT, STMN1, CHEK1, LCP2, PLXNB1, PRKCQ, ECT2, RALGPS1, MAP4K4",2.2409388,0.154476705
MF,fibronectin binding,5,1.366120219,0.003015943,"IGFBP5, ITGA4, THBS1, CTSS, VEGFA",8.20940097,0.159380962
BP,collagen fibril organization,7,1.912568306,0.002684126,"COL5A1, COL14A1, COL5A3, SERPINH1, DPT, FMOD, LOXL2",5.018833849,0.178494378
CC,azurophil granule lumen,6,1.639344262,0.022695937,"CTSA, ACTR2, IMPDH1, GGH, MNDA, CTSC",3.719509998,0.186761813
CC,ficolin-1-rich granule membrane,5,1.366120219,0.0227645,"FCER1G, CD300A, FPR1, SLC2A3, TCIRG1",4.623981009,0.186761813
BP,receptor-mediated endocytosis,7,1.912568306,0.003059145,"ITGAM, LRP2, HMMR, PLA2R1, FOLR1, LRP1B, PDLIM7",4.890145802,0.19847135
BP,regulation of mitotic centrosome separation,3,0.819672131,0.003219933,"CHEK1, NEK2, KIF11",32.69411765,0.200437177
BP,sprouting angiogenesis,5,1.366120219,0.003315502,"CDH13, THBS1, PGF, LOXL2, VEGFA",8.013264129,0.200437177
BP,response to organic substance,5,1.366120219,0.003315502,"CDH1, TIMP1, HPSE, MMP9, CTSC",8.013264129,0.200437177
BP,vascular endothelial growth factor signaling pathway,4,1.092896175,0.003415495,"FLT1, KDR, PGF, VEGFA",12.82122261,0.201893698
CC,cell projection,9,2.459016393,0.026617371,"MAGI1, ACTR2, HCK, TRIO, PLAUR, SPP1, SLC2A3, CD44, TLR2",2.538565574,0.214003663
BP,liver regeneration,5,1.366120219,0.004092358,"SLC7A5, RGN, TYMS, EZH2, AURKA",7.568082789,0.224407665
BP,endothelial cell migration,5,1.366120219,0.004092358,"STARD13, CDH13, PRKX, S100A9, LOXL2",7.568082789,0.224407665
BP,response to progesterone,5,1.366120219,0.004092358,"FOSB, FOS, TYMS, THBS1, TLR2",7.568082789,0.224407665
BP,G2/M transition of mitotic cell cycle,6,1.639344262,0.004133825,"CCNA2, CHEK1, FOXM1, PBX1, CDC25B, AURKA",5.636916836,0.224407665
MF,structural constituent of cytoskeleton,8,2.18579235,0.004772826,"ACTR2, EPB41L4B, TUBB6, ARPC1B, SORBS2, ANK3, ADD3, LMNB2",3.856158988,0.233634584
MF,extracellular matrix structural constituent,9,2.459016393,0.005101192,"MMRN1, COL5A1, COL14A1, COL5A3, FN1, DPT, TGFBI, THBS1, LTBP1",3.401881265,0.233634584
CC,apical plasma membrane,14,3.825136612,0.030027403,"SLC16A1, SLC1A1, FN1, SORBS2, LRP2, TCIRG1, ATP1B1, SLC7A5, SLC6A8, RAB17, SLC26A4, FOLR1, CD44, SHANK2",1.935725383,0.236686589
BP,positive regulation of neuron death,5,1.366120219,0.004523246,"EGR1, C1QA, ITGAM, TYROBP, FOS",7.363540011,0.2406367
CC,actin filament,6,1.639344262,0.031193689,"HCK, WIPF1, LMOD1, MICAL2, AIF1, ARHGAP6",3.418943534,0.241151212
MF,protease binding,8,2.18579235,0.005803221,"NTRK2, KIT, SERPINE1, BCL2, FN1, TIMP1, THBS1, ATP9A",3.719657784,0.249175822
CC,basal plasma membrane,5,1.366120219,0.033833117,"SLC7A5, SLC16A1, SLCO2A1, ANK3, SLC1A5",4.087867269,0.253300716
CC,Z disc,7,1.912568306,0.034025469,"RYR2, NEBL, SORBS2, ANK3, CRYAB, OBSL1, PDLIM7",2.903588075,0.253300716
BP,positive regulation of cell cycle,5,1.366120219,0.004983653,"CITED2, CHEK1, NUPR1, FGFR2, TBX3",7.169762642,0.25993169
BP,cellular response to growth factor stimulus,6,1.639344262,0.005134052,"SHC1, CAT, TWIST1, LRP2, THBS1, FGFR2",5.359691418,0.26262652
BP,ossification,7,1.912568306,0.005247203,"BCL2, SPP1, TWIST1, TCIRG1, MMP9, BMP7, PDLIM7",4.38426865,0.263350202
CC,"chromosome, telomeric region",8,2.18579235,0.036853504,"FEN1, CHEK1, MCM4, MCM5, MCM6, EZH1, PML, EZH2",2.578860265,0.269365611
MF,calmodulin binding,11,3.005464481,0.006998749,"RYR2, PCP4, MARCKS, PDE1A, DAPK2, RGS16, MYO5C, IQGAP2, KCNN4, ADD3, SNTA1",2.752103944,0.282831796
CC,neuronal cell body,13,3.551912568,0.039837549,"GPM6A, ITGA4, PDE1A, SLC1A1, CYBB, SORBS2, RAP1GAP, EFHC1, CKB, RAB17, KCNN4, YKT6, SHANK2",1.919799445,0.285976691
CC,presynaptic active zone,4,1.092896175,0.042587934,"TRIO, PCLO, PPFIBP2, SHANK2",5.128415301,0.300357011
CC,caveola,5,1.366120219,0.043867235,"EHD2, HCK, IRS1, CDH13, ATP1B1",3.760837887,0.30404532
CC,nuclear membrane,10,2.732240437,0.045715941,"IL15RA, CENPF, ALOX5, ALOX5AP, BCL2, KPNA4, SEPHS1, DTL, LMNB2, PML",2.144964574,0.311488274
BP,positive regulation of heart rate,4,1.092896175,0.006328816,"RYR2, EDN3, SLC1A1, ADM",10.37908497,0.311752804
CC,adherens junction,8,2.18579235,0.047355217,"MAGI1, CXADR, CDH1, CDH13, STXBP6, S100A11, PDLIM7, VEGFA",2.439462413,0.31524134
CC,glial cell projection,3,0.819672131,0.048021402,"SLC1A1, AIF1, WASF3",8.461885246,0.31524134
CC,extrinsic component of membrane,5,1.366120219,0.04944505,"EHD2, SEC23A, TRIO, PLAUR, GFRA2",3.616190276,0.31524134
CC,lateral plasma membrane,5,1.366120219,0.04944505,"SLC16A1, CDH1, ANK3, ATP1B1, SNTA1",3.616190276,0.31524134
CC,intercalated disc,4,1.092896175,0.050187676,"CXADR, ANK3, ATP1B1, OBSL1",4.801069643,0.31524134
CC,complement component C1 complex,2,0.546448087,0.052104796,"C1QB, C1QA",37.60837887,0.317365573
CC,centralspindlin complex,2,0.546448087,0.052104796,"KIF23, ECT2",37.60837887,0.317365573
BP,neuron projection morphogenesis,6,1.639344262,0.006719187,"GPM6A, TRIO, PLXNB1, BMP7, ATP9A, MAP4K4",5.029864253,0.32418033
BP,innate immune response,22,6.010928962,0.006824849,"C1QB, C1QA, CSF1R, ARG2, ITGAM, FCER1G, LY86, RNASE6, CYBB, ISG15, IL1RAP, ATP1B1, SAMHD1, TREM1, PML, SRPK1, HCK, C7, ELF4, CASP4, S100A9, TLR2",1.890826993,0.32418033
CC,secretory granule lumen,6,1.639344262,0.055174173,"IMPDH1, ALOX5, CAT, PYGL, S100A9, S100A11",2.917891464,0.327480858
CC,filopodium,5,1.366120219,0.055394772,"ARL4C, GPM6A, CXADR, IQGAP2, DNALI1",3.482257303,0.327480858
BP,ovarian follicle development,5,1.366120219,0.007137761,"MMP14, KIT, BCL2, KDR, VEGFA",6.486928105,0.331581758
BP,DNA unwinding involved in DNA replication,4,1.092896175,0.007229978,"GINS2, MCM4, MCM5, MCM6",9.907308378,0.331581758
CC,anaphase-promoting complex,3,0.819672131,0.05706019,"UBE2C, UBE2S, BUB1B",7.692622951,0.332437626
BP,angiogenesis,12,3.278688525,0.007554734,"EFNA1, MMP14, JUN, FLT1, SHC1, SERPINE1, KDR, FN1, PRKX, TGFBI, FGFR2, VEGFA",2.564244521,0.340603284
BP,cellular response to hormone stimulus,5,1.366120219,0.007758526,"FOSB, SLIT3, FOS, AIF1, PGF",6.336069311,0.343961333
CC,kinesin complex,4,1.092896175,0.061267107,"KIF14, KIF23, KIF2C, KIF11",4.424515161,0.351848243
BP,melanocyte differentiation,4,1.092896175,0.008203248,"OCA2, EDN3, KIT, BCL2",9.47655584,0.355766242
BP,G1/S transition of mitotic cell cycle,6,1.639344262,0.008618657,"CCNA2, DBF4, BCL2, EIF4EBP1, EZH2, CDKN3",4.73827792,0.355766242
BP,neurotransmitter catabolic process,3,0.819672131,0.008693536,"ALDH5A1, MAOA, ABAT",20.43382353,0.355766242
BP,negative regulation of plasminogen activation,3,0.819672131,0.008693536,"PLAU, SERPINE1, THBS1",20.43382353,0.355766242
BP,cellular response to cocaine,3,0.819672131,0.008693536,"CCNA2, SLC1A1, TGM2",20.43382353,0.355766242
CC,M band,3,0.819672131,0.066634861,"ENO1, CRYAB, OBSL1",7.051571038,0.371627395
CC,endosome,11,3.005464481,0.066767174,"IL15RA, FLT1, CDH1, KDR, LRP2, HPSE, RAB17, STEAP1, FOLR1, YKT6, ATP9A",1.903491569,0.371627395
CC,germinal vesicle,2,0.546448087,0.068864229,"MARCKS, AURKA",28.20628415,0.371627395
CC,mitotic checkpoint complex,2,0.546448087,0.068864229,"BUB1B, MAD2L1",28.20628415,0.371627395
CC,macromolecular complex,19,5.191256831,0.069445158,"RYR2, FEN1, CXADR, CITED2, WWC1, CDCA8, KIF11, LTBP1, HIRA, PCP4, CASP4, CAT, CHEK1, BCL2, CD9, NEK2, CRYAB, ASF1B, SNTA1",1.537788806,0.371627395
CC,intracellular organelle,4,1.092896175,0.070257915,"DBF4, BUB1B, ECT2, BUB1",4.178708763,0.371627395
CC,cytoskeleton,16,4.371584699,0.071197705,"MYLIP, FAAH, LMOD1, KLHL3, KIF11, ADD3, CKAP4, EPB41L4B, HCK, SGCD, PCLO, PRC1, IGF2BP2, S100A9, WASF3, SNTA1",1.620468748,0.371707497
BP,positive regulation of apoptotic process,14,3.825136612,0.009279546,"JUN, BCL2A1, DAPK2, ADM, BMP7, MMP9, MLLT11, LGALS1, STK17A, BCL2, ID3, MNDA, ECT2, TGM2",2.270424837,0.373993815
CC,tertiary granule lumen,4,1.092896175,0.076562502,"ASAH1, GGH, MMP9, CTSS",4.029469165,0.394591354
BP,cell-cell adhesion,10,2.732240437,0.009957088,"ITGAM, LGALS1, ITGA4, SHC1, CDH1, COL14A1, BCL2, STXBP6, CD44, S100A11",2.79436903,0.395311242
CC,bicellular tight junction,6,1.639344262,0.083195049,"RAP2C, MAGI1, EPB41L4B, CXADR, ANK3, ECT2",2.583781754,0.418316015
CC,serine protease inhibitor complex,2,0.546448087,0.085328142,"PLAU, SERPINE1",22.56502732,0.418316015
CC,collagen type V trimer,2,0.546448087,0.085328142,"COL5A1, COL5A3",22.56502732,0.418316015
CC,transcription factor AP-1 complex,2,0.546448087,0.085328142,"JUN, FOS",22.56502732,0.418316015
CC,azurophil granule membrane,4,1.092896175,0.086465667,"GLIPR1, FPR1, C3AR1, CKAP4",3.824580902,0.418785519
CC,chromatin,27,7.37704918,0.089698363,"CITED2, TWIST1, PBXIP1, FOXM1, LOXL2, HIRA, HHEX, CHEK1, ZBED2, PPARGC1A, TGM2, FANCI, CBX7, EGR1, JUN, NAP1L2, FOS, TBX3, PBX1, PML, SRPK1, CENPF, PAX8, ELF4, FOSB, EZH2, ASF1B",1.369729626,0.428277361
CC,basement membrane,5,1.366120219,0.090556158,"COL5A1, FN1, TIMP1, TGFBI, LOXL2",2.938154599,0.428277361
BP,vascular wound healing,3,0.819672131,0.011043014,"KDR, HPSE, VEGFA",18.16339869,0.431976705
BP,skeletal muscle cell differentiation,5,1.366120219,0.011393482,"EGR1, BTG2, CITED2, FOS, NUPR1",5.676062092,0.433361818
BP,negative regulation of cell proliferation,17,4.644808743,0.011473801,"CSF1R, JUN, BTG2, DUSP1, DPT, ADM, BMP7, THBS1, TOB1, PML, CD9, CDH13, SLIT3, NUPR1, S100A11, CDKN3, TLR2",2.005050505,0.433361818
BP,positive regulation of focal adhesion assembly,4,1.092896175,0.011567176,"KDR, MAP4K4, S100A10, VEGFA",8.383107089,0.433361818
CC,cytoplasmic vesicle membrane,6,1.639344262,0.09616508,"IL15RA, RYR2, ITPR1, GPRC5C, YKT6, AP1M2",2.470623429,0.449515838
MF,selenium binding,3,0.819672131,0.011841475,"SELENBP1, DIO1, DIO2",17.51338873,0.451949637
BP,response to insulin,6,1.639344262,0.012782511,"EGR1, IRS1, CAT, ADM, FOS, TLR2",4.301857585,0.466714689
BP,"negative regulation of transcription, DNA-templated",20,5.464480874,0.012808335,"JUN, TLE2, SHC1, CITED2, TWIST1, PBXIP1, ENO1, FOXM1, BMP7, TOB1, TBX3, PML, LOXL2, HIRA, CENPF, HHEX, ZNF91, ID3, CRYAB, EZH2",1.843999867,0.466714689
BP,positive regulation of MAP kinase activity,6,1.639344262,0.013471085,"FLT1, EDN3, KIT, THBS1, EZH2, VEGFA",4.245989305,0.483256563
BP,branching involved in salivary gland morphogenesis,3,0.819672131,0.013638054,"BMP7, FGFR2, TGM2",16.34705882,0.483256563
BP,cell migration,12,3.278688525,0.01380733,"EFNA1, FLT1, COL5A1, WWC1, SDC2, ELMO1, KDR, PLXNB1, PBXIP1, THBS1, MMP9, CD44",2.352094795,0.483256563
BP,positive regulation of MAPK cascade,9,2.459016393,0.014081838,"EFNA1, NTRK2, FLT1, SHC1, WWC1, KIT, KDR, FGFR2, VEGFA",2.85123119,0.486463485
BP,"positive regulation of transcription, DNA-templated",23,6.284153005,0.015383198,"CD86, EGR1, JUN, SHC1, CITED2, WWC1, PBXIP1, FOS, FOXM1, MLLT3, BMP7, PML, RAP2C, MLLT11, CCNA2, HHEX, PAX8, CDH1, ELF4, SPP1, NUPR1, PPARGC1A, MYBL1",1.72153092,0.519000402
BP,signal transduction,36,9.836065574,0.015413922,"CDS1, CCL13, CSF1R, BEX1, SHC1, IRS1, PDE1A, CRABP1, FPR1, ITPR1, ADM, PRKX, TNFRSF11B, IQGAP2, ARHGAP6, RAP1GAP, PLAU, STMN1, SPP1, TIMP1, S100A11, MAGI1, STARD13, TLE2, IGFBP5, EDN3, PLAUR, ANK3, GFRA2, PGF, RAP2C, TYROBP, GNAL, TG, KIT, TLR2",1.500877627,0.519000402
BP,peptide cross-linking,4,1.092896175,0.015615656,"FN1, F13A1, THBS1, TGM2",7.515889114,0.519220571
BP,tetrahydrofolate interconversion,3,0.819672131,0.016468934,"SHMT2, MTHFD2, TYMS",14.86096257,0.527982418
BP,mitotic spindle midzone assembly,3,0.819672131,0.016468934,"PRC1, CDCA8, KIF23",14.86096257,0.527982418
BP,response to toxic substance,6,1.639344262,0.016474639,"CDH1, BCL2, FOS, NUPR1, TYMS, TLR2",4.036310821,0.527982418
MF,microtubule binding,12,3.278688525,0.015216693,"CENPE, TPX2, CENPF, PRC1, NUSAP1, KIF14, KIF23, KIF2C, KIF11, CRYAB, S100A9, MAP4K4",2.317948509,0.530587596
MF,symporter activity,6,1.639344262,0.015542357,"SLC16A1, SLC6A8, SLC20A1, SLC1A1, SLC1A5, SLC4A4",4.094038925,0.530587596
MF,transcription corepressor activity,10,2.732240437,0.016218835,"HIRA, TLE2, BTG2, ASAH1, CITED2, PBXIP1, ENO1, TOB1, EZH1, EZH2",2.575498343,0.530587596
BP,vascular endothelial growth factor receptor signaling pathway,4,1.092896175,0.017120182,"FLT1, KDR, PGF, VEGFA",7.265359477,0.542139084
BP,positive regulation of vascular smooth muscle cell proliferation,5,1.366120219,0.018085952,"DNMT1, JUN, IGFBP5, MMP9, FGFR2",4.953654189,0.546733705
BP,neutrophil chemotaxis,6,1.639344262,0.018130751,"CCL13, CXADR, FCER1G, EDN3, TREM1, S100A9",3.939050319,0.546733705
BP,cellular calcium ion homeostasis,7,1.912568306,0.018455513,"CCR1, CCL13, RYR2, EDN3, RGN, TCIRG1, ATP1B1",3.345889233,0.546733705
BP,endodermal cell differentiation,4,1.092896175,0.018702876,"MMP14, ITGA4, FN1, MMP9",7.030993042,0.546733705
BP,central nervous system development,8,2.18579235,0.019336269,"MARCKS, VCAN, TRIO, ALDH5A1, PAX8, CITED2, ID3, TBX3",2.945416004,0.546733705
BP,positive regulation of mitotic cell cycle spindle assembly checkpoint,3,0.819672131,0.019526204,"CDCA8, NDC80, MAD2L1",13.62254902,0.546733705
BP,regulation of chromosome segregation,3,0.819672131,0.019526204,"KIF2C, MKI67, BUB1",13.62254902,0.546733705
BP,positive regulation of keratinocyte migration,3,0.819672131,0.019526204,"EPB41L4B, MMP9, MAP4K4",13.62254902,0.546733705
BP,attachment of mitotic spindle microtubules to kinetochore,3,0.819672131,0.019526204,"CENPE, KIF2C, NDC80",13.62254902,0.546733705
BP,positive regulation of positive chemotaxis,3,0.819672131,0.019526204,"KDR, CDH13, VEGFA",13.62254902,0.546733705
BP,hormone biosynthetic process,3,0.819672131,0.019526204,"TG, DIO1, DIO2",13.62254902,0.546733705
BP,macromolecular complex assembly,8,2.18579235,0.019982887,"MAGI1, WIPF1, IL1RAP, NUPR1, PPARGC1A, SH3BGR, WASF3, PML",2.925648112,0.54798433
BP,response to lipopolysaccharide,8,2.18579235,0.019982887,"DIO2, ACP5, ADM, FOS, TRIB1, S100A9, FGFR2, TLR2",2.925648112,0.54798433
BP,female pregnancy,6,1.639344262,0.020814971,"IGFBP5, BCL2, FOSB, ADM, FOS, PGF",3.801641587,0.564977775
BP,peptidyl-tyrosine phosphorylation,5,1.366120219,0.021566389,"CSF1R, HCK, FLT1, KDR, FGFR2",4.697430696,0.579460548
BP,negative regulation of smooth muscle cell proliferation,4,1.092896175,0.022103603,"IGFBP5, TRIB1, AIF1, PPARGC1A",6.604872252,0.583440356
BP,negative regulation of fibrinolysis,3,0.819672131,0.022800676,"PLAU, SERPINE1, THBS1",12.57466063,0.583440356
BP,UV protection,3,0.819672131,0.022800676,"FEN1, CAT, XPA",12.57466063,0.583440356
BP,negative regulation of smooth muscle cell migration,3,0.819672131,0.022800676,"IGFBP5, SERPINE1, TRIB1",12.57466063,0.583440356
BP,response to mechanical stimulus,5,1.366120219,0.022811202,"MMP14, BTG2, CITED2, FOSB, THBS1",4.617813227,0.583440356
BP,positive regulation of protein phosphorylation,10,2.732240437,0.0237582,"EFNA1, NTRK2, CSF1R, PLAUR, KDR, CDCA8, AIF1, MMP9, PGF, VEGFA",2.411070623,0.599094093
BP,DNA biosynthetic process,4,1.092896175,0.023921806,"CENPF, POLI, TK1, TYMS",6.410611303,0.599094093
BP,regulation of cell adhesion,5,1.366120219,0.024098898,"PLAU, PLAUR, KIF14, PRKX, PML",4.540849673,0.599094093
BP,activation of protein kinase activity,4,1.092896175,0.02581853,"TPX2, KIF14, ECT2, VEGFA",6.22745098,0.635900837
BP,regulation of DNA-dependent DNA replication initiation,3,0.819672131,0.026283425,"MCM4, MCM5, MCM6",11.67647059,0.641412012
BP,negative regulation of sequence-specific DNA binding transcription factor activity,6,1.639344262,0.026931188,"ID3, TWIST1, NUPR1, TRIB1, PBX1, EZH2",3.55370844,0.641628876
BP,chemotaxis,7,1.912568306,0.027541876,"CCR1, CCL13, PLAU, PLAUR, FPR1, C3AR1, PLP2",3.05145098,0.641628876
BP,ureteric bud development,4,1.092896175,0.027793637,"ARG2, CAT, BMP7, FGFR2",6.054466231,0.641628876
BP,cellular response to cadmium ion,4,1.092896175,0.027793637,"JUN, CYBB, FOS, MMP9",6.054466231,0.641628876
BP,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,4,1.092896175,0.027793637,"CASP4, BCL2, ITPR1, PML",6.054466231,0.641628876
BP,lamellipodium assembly,4,1.092896175,0.027793637,"ABLIM1, KIT, CDH13, WASF3",6.054466231,0.641628876
BP,cytokine-mediated signaling pathway,8,2.18579235,0.02811541,"CCR1, CSF1R, HCK, KIT, SLC1A1, PLP2, CD44, TGM2",2.724509804,0.641628876
BP,vasculogenesis,5,1.366120219,0.028222022,"NTRK2, CITED2, KDR, ADM, VEGFA",4.324618736,0.641628876
BP,negative regulation of cell growth,7,1.912568306,0.028491369,"FHL1, BCL2, SLIT3, ENO1, CRYAB, PML, DCBLD2",3.027233115,0.642263063
MF,heparin binding,9,2.459016393,0.021230118,"COL5A1, COL5A3, FN1, SLIT3, THBS1, BMP7, FGFR2, PGF, VEGFA",2.641684334,0.662958676
MF,extracellular matrix binding,4,1.092896175,0.022393622,"SPP1, TGFBI, THBS1, VEGFA",6.567520776,0.668887744
BP,negative regulation of neuron apoptotic process,8,2.18579235,0.030672687,"NTRK2, BTG2, JUN, SLC1A1, BCL2, KIF14, KDR, PPARGC1A",2.674365452,0.685624769
BP,cartilage development,5,1.366120219,0.031189732,"BBS1, TIMP1, TYMS, BMP7, CD44",4.191553544,0.691372399
BP,folic acid metabolic process,3,0.819672131,0.033839297,"SHMT2, MTHFD2, FOLR1",10.21691176,0.720100234
BP,replicative senescence,3,0.819672131,0.033839297,"CHEK1, SERPINE1, PLA2R1",10.21691176,0.720100234
BP,thyroid hormone generation,3,0.819672131,0.033839297,"TG, DIO1, DIO2",10.21691176,0.720100234
