ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
215351_at	0.03188917	3.35e-03	3.99	-1.97109	3.17e-01	RTCA	RNA 3'-terminal phosphate cyclase
202430_s_at	0.03190863	3.35e-03	3.99	-1.97243	4.09e-01	PLSCR1	phospholipid scramblase 1
220770_s_at	0.03190863	3.35e-03	-3.99	-1.97261	-2.73e-01	ZBED8	zinc finger BED-type containing 8
214442_s_at	0.03191063	3.35e-03	-3.99	-1.97313	-2.38e-01	PIAS2	protein inhibitor of activated STAT 2
213772_s_at	0.03191063	3.35e-03	-3.99	-1.97357	-3.89e-01	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2
204407_at	0.03191063	3.36e-03	3.99	-1.974	2.30e-01	TTF2	transcription termination factor 2
212803_at	0.03195695	3.36e-03	3.98	-1.97612	2.22e-01	NAB2	NGFI-A binding protein 2
213142_x_at	0.03195695	3.37e-03	-3.98	-1.97707	-3.75e-01	GSAP	gamma-secretase activating protein
209659_s_at	0.03195695	3.37e-03	-3.98	-1.97744	-2.23e-01	CDC16	cell division cycle 16
206597_at	0.03195695	3.37e-03	-3.98	-1.97827	-3.84e-01	NRL	neural retina leucine zipper
203828_s_at	0.03195695	3.37e-03	3.98	-1.97853	7.16e-01	IL32	interleukin 32
209365_s_at	0.03195695	3.37e-03	3.98	-1.97902	6.48e-01	ECM1	extracellular matrix protein 1
218309_at	0.03195695	3.37e-03	3.98	-1.97916	6.71e-01	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1
220282_at	0.03195695	3.37e-03	-3.98	-1.97928	-3.14e-01	RIC3	RIC3 acetylcholine receptor chaperone
211875_x_at	0.03195695	3.37e-03	3.98	-1.97964	3.60e-01	PCDHGA10	protocadherin gamma subfamily A, 10
217588_at	0.03195695	3.37e-03	-3.98	-1.97992	-3.90e-01	LOC101930343///CATSPER2P1///CATSPER2	uncharacterized LOC101930343///cation channel sperm associated 2 pseudogene 1///cation channel sperm associated 2
204811_s_at	0.03195695	3.38e-03	-3.98	-1.98036	-4.91e-01	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2
215235_at	0.03201221	3.38e-03	-3.98	-1.98259	-2.75e-01	SPTAN1	spectrin alpha, non-erythrocytic 1
213236_at	0.03206015	3.39e-03	-3.98	-1.98458	-4.56e-01	SASH1	SAM and SH3 domain containing 1
201475_x_at	0.03208704	3.40e-03	3.98	-1.98628	2.39e-01	MIR6758///MARS	microRNA 6758///methionyl-tRNA synthetase
221912_s_at	0.03208704	3.40e-03	3.98	-1.98633	3.27e-01	CCDC28B	coiled-coil domain containing 28B
212170_at	0.03209744	3.40e-03	-3.98	-1.9871	-2.10e-01	RBM12	RNA binding motif protein 12
203381_s_at	0.03212368	3.40e-03	3.98	-1.98839	7.87e-01	APOE	apolipoprotein E
202627_s_at	0.03216623	3.41e-03	3.98	-1.9902	1.00	SERPINE1	serpin family E member 1
220277_at	0.03219571	3.41e-03	-3.97	-1.99159	-2.60e-01	CXXC4	CXXC finger protein 4
221123_x_at	0.03224092	3.42e-03	-3.97	-1.99351	-3.47e-01	FBXO16///ZNF395	F-box protein 16///zinc finger protein 395
213672_at	0.03224092	3.42e-03	3.97	-1.99392	2.86e-01	MIR6758///MARS	microRNA 6758///methionyl-tRNA synthetase
209187_at	0.03225583	3.42e-03	3.97	-1.99484	3.35e-01	DR1	down-regulator of transcription 1
206932_at	0.0323135	3.43e-03	3.97	-1.9972	5.00e-01	CH25H	cholesterol 25-hydroxylase
206765_at	0.0323135	3.43e-03	3.97	-1.99756	7.06e-01	KCNJ2	potassium voltage-gated channel subfamily J member 2
210650_s_at	0.03231632	3.44e-03	-3.97	-1.99837	-2.35e-01	PCLO	piccolo presynaptic cytomatrix protein
209152_s_at	0.03231632	3.44e-03	3.97	-1.99853	2.78e-01	TCF3	transcription factor 3
214702_at	0.03235018	3.44e-03	3.97	-2.00005	8.42e-01	FN1	fibronectin 1
220644_at	0.03236246	3.44e-03	3.97	-2.00088	3.31e-01		
204315_s_at	0.03236767	3.45e-03	3.97	-2.00158	2.78e-01	GTSE1	G2 and S-phase expressed 1
200768_s_at	0.03236767	3.45e-03	-3.97	-2.00192	-2.19e-01	MAT2A	methionine adenosyltransferase 2A
211612_s_at	0.03237544	3.45e-03	3.97	-2.00351	3.16e-01	IL13RA1	interleukin 13 receptor subunit alpha 1
218345_at	0.03237544	3.45e-03	3.97	-2.00364	4.29e-01	TMEM176A	transmembrane protein 176A
218816_at	0.03237544	3.45e-03	-3.97	-2.00406	-5.84e-01	LRRC1	leucine rich repeat containing 1
205676_at	0.03237544	3.45e-03	-3.97	-2.00415	-2.91e-01	CYP27B1	cytochrome P450 family 27 subfamily B member 1
212878_s_at	0.03237544	3.46e-03	3.97	-2.00479	3.02e-01	KLC1	kinesin light chain 1
212715_s_at	0.03237544	3.46e-03	-3.97	-2.00521	-3.99e-01	MICAL3	microtubule associated monooxygenase, calponin and LIM domain containing 3
218503_at	0.03237544	3.46e-03	-3.97	-2.00522	-5.06e-01	FOCAD	focadhesin
209563_x_at	0.03241559	3.46e-03	3.96	-2.00705	2.56e-01	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1
201630_s_at	0.03241559	3.47e-03	-3.96	-2.00738	-2.68e-01	ACP1	acid phosphatase 1, soluble
207861_at	0.0324218	3.47e-03	3.96	-2.00801	3.19e-01	CCL22	C-C motif chemokine ligand 22
204104_at	0.03243613	3.47e-03	3.96	-2.0089	2.09e-01	SNAPC2	small nuclear RNA activating complex polypeptide 2
212175_s_at	0.03244044	3.47e-03	-3.96	-2.00947	-2.49e-01	AK2	adenylate kinase 2
216999_at	0.03246948	3.48e-03	-3.96	-2.01094	-1.84e-01	EPOR	erythropoietin receptor
202026_at	0.03246948	3.48e-03	-3.96	-2.01127	-2.42e-01	SDHD	succinate dehydrogenase complex subunit D
214117_s_at	0.03249932	3.48e-03	-3.96	-2.01268	-2.42e-01	BTD	biotinidase
204437_s_at	0.03249932	3.48e-03	-3.96	-2.01309	-9.84e-01	FOLR1	folate receptor 1
213423_x_at	0.03253388	3.49e-03	3.96	-2.01462	8.60e-01	TUSC3	tumor suppressor candidate 3
202595_s_at	0.03255493	3.49e-03	3.96	-2.01573	3.22e-01	LEPROTL1	leptin receptor overlapping transcript-like 1
212130_x_at	0.03264826	3.51e-03	-3.96	-2.01952	-1.99e-01	EIF1	eukaryotic translation initiation factor 1
208213_s_at	0.03264826	3.51e-03	-3.96	-2.01956	-3.05e-01	KCNAB1	potassium voltage-gated channel subfamily A member regulatory beta subunit 1
217973_at	0.03269269	3.51e-03	-3.95	-2.0214	-4.03e-01	DCXR	dicarbonyl and L-xylulose reductase
201144_s_at	0.03270236	3.51e-03	3.95	-2.02214	3.53e-01	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha
211274_at	0.03273991	3.52e-03	-3.95	-2.02376	-2.14e-01	TBX1	T-box 1
201937_s_at	0.03275462	3.52e-03	3.95	-2.02466	2.59e-01	DNPEP	aspartyl aminopeptidase
201694_s_at	0.03276086	3.53e-03	-3.95	-2.02529	-5.46e-01	EGR1	early growth response 1
211666_x_at	0.03277584	3.53e-03	-3.95	-2.02619	-2.78e-01	SNORD83B///SNORD139///RPL3	small nucleolar RNA, C/D box 83B///small nucleolar RNA, C/D box 139///ribosomal protein L3
218235_s_at	0.03278048	3.53e-03	3.95	-2.02677	1.97e-01	UTP11	UTP11, small subunit processome component homolog (S. cerevisiae)
208091_s_at	0.03289916	3.55e-03	3.95	-2.03137	3.05e-01	VOPP1	vesicular, overexpressed in cancer, prosurvival protein 1
222039_at	0.03289916	3.55e-03	3.95	-2.03138	4.73e-01	KIF18B	kinesin family member 18B
208922_s_at	0.03294986	3.55e-03	-3.95	-2.0334	-2.73e-01	NXF1	nuclear RNA export factor 1
217952_x_at	0.03300044	3.56e-03	-3.95	-2.03542	-2.67e-01	PHF3	PHD finger protein 3
217593_at	0.03304342	3.57e-03	-3.94	-2.03733	-8.60e-01	ZSCAN18	zinc finger and SCAN domain containing 18
205534_at	0.03304342	3.57e-03	3.94	-2.03763	6.76e-01	PCDH7	protocadherin 7
222157_s_at	0.03306817	3.57e-03	-3.94	-2.03884	-2.73e-01	WDR48	WD repeat domain 48
205662_at	0.0330944	3.58e-03	-3.94	-2.04045	-3.94e-01	B9D1	B9 domain containing 1
201357_s_at	0.0330944	3.58e-03	-3.94	-2.04053	-2.92e-01	SF3A1	splicing factor 3a subunit 1
220581_at	0.0330944	3.58e-03	-3.94	-2.04123	-5.43e-01	CCDC170	coiled-coil domain containing 170
220651_s_at	0.0330944	3.58e-03	3.94	-2.04138	5.11e-01	MCM10	minichromosome maintenance 10 replication initiation factor
217094_s_at	0.03311642	3.58e-03	3.94	-2.0425	3.75e-01	ITCH	itchy E3 ubiquitin protein ligase
209270_at	0.03314747	3.59e-03	3.94	-2.0439	8.22e-01	LAMB3	laminin subunit beta 3
209623_at	0.03317475	3.59e-03	-3.94	-2.04518	-2.90e-01	MCCC2	methylcrotonoyl-CoA carboxylase 2
215314_at	0.03318827	3.60e-03	-3.94	-2.04611	-3.16e-01		
220501_at	0.03318827	3.60e-03	3.94	-2.04646	2.72e-01	ACTL7A	actin like 7A
212987_at	0.03319541	3.60e-03	-3.94	-2.04711	-2.63e-01	FBXO9	F-box protein 9
1053_at	0.03323617	3.61e-03	3.94	-2.04881	3.95e-01	RFC2	replication factor C subunit 2
214792_x_at	0.03326936	3.61e-03	-3.94	-2.05027	-2.66e-01	VAMP2	vesicle associated membrane protein 2
201133_s_at	0.03331504	3.62e-03	-3.93	-2.0522	-2.60e-01	PJA2	praja ring finger ubiquitin ligase 2
210461_s_at	0.03331504	3.62e-03	-3.93	-2.05255	-6.04e-01	ABLIM1	actin binding LIM protein 1
205251_at	0.03333705	3.62e-03	-3.93	-2.05366	-2.36e-01	PER2	period circadian clock 2
209272_at	0.0333429	3.63e-03	-3.93	-2.05457	-2.73e-01	NAB1	NGFI-A binding protein 1
221665_s_at	0.0333429	3.63e-03	-3.93	-2.0547	-5.26e-01	EPS8L1	EPS8 like 1
212992_at	0.03335739	3.63e-03	3.93	-2.05557	8.03e-01	AHNAK2	AHNAK nucleoprotein 2
212557_at	0.03335878	3.63e-03	-3.93	-2.05604	-2.07e-01	ZNF451	zinc finger protein 451
201067_at	0.03338144	3.64e-03	-3.93	-2.05717	-2.36e-01	PSMC2	proteasome 26S subunit, ATPase 2
209473_at	0.03346414	3.65e-03	3.93	-2.06016	2.23e-01	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1
208378_x_at	0.03348279	3.65e-03	3.93	-2.06117	4.03e-01	FGF5	fibroblast growth factor 5
219479_at	0.03348569	3.65e-03	3.93	-2.06169	3.38e-01	KDELC1	KDEL motif containing 1
204401_at	0.03348569	3.65e-03	3.93	-2.06211	9.59e-01	KCNN4	potassium calcium-activated channel subfamily N member 4
203631_s_at	0.03349983	3.66e-03	-3.93	-2.06301	-2.12e-01	GPRC5B	G protein-coupled receptor class C group 5 member B
220050_at	0.03349983	3.66e-03	-3.93	-2.0634	-2.52e-01	SPACA9	sperm acrosome associated 9
209390_at	0.03359282	3.67e-03	-3.93	-2.06669	-2.42e-01	TSC1	tuberous sclerosis 1
213944_x_at	0.03367685	3.68e-03	-3.92	-2.06999	-1.76e-01	GNA11	G protein subunit alpha 11
215858_at	0.03367685	3.68e-03	3.92	-2.07013	4.56e-01		
221293_s_at	0.03372029	3.69e-03	3.92	-2.07189	4.91e-01	DEF6	DEF6, guanine nucleotide exchange factor
222136_x_at	0.03374661	3.69e-03	-3.92	-2.07312	-4.85e-01	ZNF729///ZNF43	zinc finger protein 729///zinc finger protein 43
204149_s_at	0.03374896	3.69e-03	-3.92	-2.07389	-6.93e-01	GSTM4	glutathione S-transferase mu 4
202126_at	0.03374896	3.70e-03	-3.92	-2.07404	-2.21e-01	PRPF4B	pre-mRNA processing factor 4B
212944_at	0.03375915	3.70e-03	-3.92	-2.07478	-5.61e-01	SLC5A3	solute carrier family 5 member 3
209551_at	0.03385317	3.71e-03	3.92	-2.07841	2.24e-01	YIPF4	Yip1 domain family member 4
212326_at	0.03385317	3.71e-03	-3.92	-2.07866	-3.12e-01	VPS13D	vacuolar protein sorting 13 homolog D
201381_x_at	0.03385317	3.71e-03	3.92	-2.07893	2.72e-01	CACYBP	calcyclin binding protein
217943_s_at	0.0338632	3.72e-03	3.92	-2.08005	2.22e-01	MAP7D1	MAP7 domain containing 1
202425_x_at	0.0338632	3.72e-03	3.92	-2.08009	2.94e-01	PPP3CA	protein phosphatase 3 catalytic subunit alpha
218584_at	0.03388201	3.72e-03	-3.92	-2.0814	-5.10e-01	TCTN1	tectonic family member 1
214077_x_at	0.03388201	3.72e-03	-3.92	-2.08181	-5.07e-01	MEIS3P1	Meis homeobox 3 pseudogene 1
203075_at	0.03388201	3.72e-03	-3.92	-2.08193	-2.97e-01	SMAD2	SMAD family member 2
41397_at	0.03388499	3.73e-03	-3.92	-2.08244	-2.80e-01	ZNF821	zinc finger protein 821
213346_at	0.03391074	3.73e-03	3.91	-2.08365	3.24e-01	TEX30	testis expressed 30
212235_at	0.03392221	3.73e-03	3.91	-2.08443	8.10e-01	PLXND1	plexin D1
215985_at	0.03393148	3.74e-03	-3.91	-2.08513	-2.00e-01	HCG8///ZNRD1ASP	HLA complex group 8///zinc ribbon domain containing 1 antisense, pseudogene
221353_at	0.03393619	3.74e-03	-3.91	-2.0857	-2.31e-01	OR3A1	olfactory receptor family 3 subfamily A member 1
218124_at	0.03395745	3.74e-03	-3.91	-2.08696	-3.86e-01	RETSAT	retinol saturase
210008_s_at	0.03395745	3.74e-03	3.91	-2.08719	2.18e-01	MRPS12	mitochondrial ribosomal protein S12
221268_s_at	0.03398127	3.75e-03	3.91	-2.08834	2.68e-01	SGPP1	sphingosine-1-phosphate phosphatase 1
214954_at	0.0340516	3.76e-03	-3.91	-2.09131	-3.88e-01	SUSD5	sushi domain containing 5
203408_s_at	0.0340516	3.76e-03	-3.91	-2.09132	-3.64e-01	SATB1	SATB homeobox 1
204229_at	0.03410967	3.77e-03	3.91	-2.09361	2.56e-01	SLC17A7	solute carrier family 17 member 7
218095_s_at	0.03410967	3.77e-03	3.91	-2.09392	2.67e-01	TMEM165	transmembrane protein 165
215936_s_at	0.03417319	3.78e-03	3.91	-2.09695	3.15e-01	KIAA1033	KIAA1033
212573_at	0.03417319	3.78e-03	3.91	-2.09717	3.05e-01	ENDOD1	endonuclease domain containing 1
201469_s_at	0.03417319	3.78e-03	3.91	-2.09719	5.04e-01	SHC1	SHC adaptor protein 1
204175_at	0.03417319	3.78e-03	3.91	-2.09817	2.63e-01	ZNF593	zinc finger protein 593
210951_x_at	0.03417319	3.78e-03	3.90	-2.09837	4.67e-01	RAB27A	RAB27A, member RAS oncogene family
212064_x_at	0.03417319	3.78e-03	3.90	-2.09837	2.11e-01	MAZ	MYC associated zinc finger protein
202782_s_at	0.03421719	3.79e-03	-3.90	-2.10012	-2.44e-01	INPP5K	inositol polyphosphate-5-phosphatase K
218177_at	0.03425281	3.80e-03	-3.90	-2.10211	-4.29e-01	CHMP1B	charged multivesicular body protein 1B
203560_at	0.03425281	3.80e-03	3.90	-2.10278	6.86e-01	GGH	gamma-glutamyl hydrolase
216741_at	0.03425281	3.80e-03	3.90	-2.10302	3.15e-01		
202902_s_at	0.03425281	3.80e-03	3.90	-2.10313	4.74e-01	CTSS	cathepsin S
210673_x_at	0.03425281	3.80e-03	-3.90	-2.10329	-9.43e-01	NKX2-1	NK2 homeobox 1
221614_s_at	0.03434714	3.81e-03	-3.90	-2.1068	-3.71e-01	RPH3AL	rabphilin 3A-like (without C2 domains)
221626_at	0.03434714	3.82e-03	-3.90	-2.10764	-2.12e-01	ZNF506	zinc finger protein 506
201233_at	0.03434714	3.82e-03	3.90	-2.10778	2.72e-01	PSMD13	proteasome 26S subunit, non-ATPase 13
205434_s_at	0.03434714	3.82e-03	-3.90	-2.10781	-3.31e-01	AAK1	AP2 associated kinase 1
219110_at	0.03436736	3.82e-03	3.90	-2.10902	2.95e-01	GAR1	GAR1 ribonucleoprotein
218034_at	0.03436736	3.82e-03	-3.90	-2.10926	-2.37e-01	FIS1	fission, mitochondrial 1
217730_at	0.03437823	3.83e-03	-3.90	-2.1101	-2.51e-01	MIR6513///TMBIM1	microRNA 6513///transmembrane BAX inhibitor motif containing 1
202172_at	0.03437823	3.83e-03	-3.90	-2.11042	-3.20e-01	VEZF1	vascular endothelial zinc finger 1
203311_s_at	0.0343961	3.83e-03	3.90	-2.11138	3.95e-01	ARF6	ADP ribosylation factor 6
213649_at	0.03444381	3.84e-03	-3.90	-2.11323	-2.81e-01	SRSF7	serine and arginine rich splicing factor 7
218416_s_at	0.03444733	3.84e-03	-3.89	-2.11387	-4.29e-01	SLC48A1	solute carrier family 48 member 1
212495_at	0.03444733	3.84e-03	-3.89	-2.11417	-3.51e-01	KDM4B	lysine demethylase 4B
218402_s_at	0.03445862	3.84e-03	-3.89	-2.11492	-2.78e-01	HPS4	HPS4, biogenesis of lysosomal organelles complex 3 subunit 2
214733_s_at	0.03452044	3.85e-03	-3.89	-2.11719	-2.64e-01	YIPF1	Yip1 domain family member 1
219173_at	0.03463118	3.87e-03	-3.89	-2.12092	-3.08e-01	MYO15B	myosin XVB
217807_s_at	0.03472961	3.88e-03	-3.89	-2.12441	-3.45e-01	SNORD23///GLTSCR2	small nucleolar RNA, C/D box 23///glioma tumor suppressor candidate region gene 2
222151_s_at	0.03472961	3.88e-03	-3.89	-2.12469	-1.94e-01	CEP63	centrosomal protein 63
212945_s_at	0.03475457	3.89e-03	-3.89	-2.12647	-3.55e-01	MGA	MGA, MAX dimerization protein
203187_at	0.03475457	3.89e-03	-3.89	-2.12652	-2.90e-01	DOCK1	dedicator of cytokinesis 1
213509_x_at	0.03475457	3.89e-03	-3.89	-2.12668	-2.58e-01	CES2	carboxylesterase 2
218524_at	0.03478418	3.89e-03	-3.89	-2.12846	-2.93e-01	E4F1	E4F transcription factor 1
222347_at	0.03478418	3.90e-03	-3.89	-2.12856	-2.73e-01		
213040_s_at	0.03478418	3.90e-03	3.89	-2.12881	3.36e-01	NPTXR	neuronal pentraxin receptor
203897_at	0.03509937	3.93e-03	-3.88	-2.13856	-3.40e-01	LYRM1	LYR motif containing 1
216942_s_at	0.0351474	3.94e-03	3.88	-2.14039	3.50e-01	CD58	CD58 molecule
209653_at	0.03517199	3.94e-03	3.88	-2.14152	5.75e-01	KPNA4	karyopherin subunit alpha 4
204017_at	0.0351979	3.95e-03	3.88	-2.1427	6.77e-01	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3
217800_s_at	0.0352261	3.95e-03	-3.88	-2.14394	-3.20e-01	NDFIP1	Nedd4 family interacting protein 1
210261_at	0.03526308	3.96e-03	-3.87	-2.14564	-3.66e-01	KCNK2	potassium two pore domain channel subfamily K member 2
217427_s_at	0.03526308	3.96e-03	-3.87	-2.14586	-5.74e-01	HIRA	histone cell cycle regulator
208667_s_at	0.03528169	3.96e-03	-3.87	-2.14682	-3.41e-01	ST13	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
204709_s_at	0.03528465	3.97e-03	3.87	-2.14732	5.38e-01	KIF23	kinesin family member 23
211323_s_at	0.03528553	3.97e-03	-3.87	-2.14775	-7.11e-01	ITPR1	inositol 1,4,5-trisphosphate receptor type 1
213385_at	0.03529099	3.97e-03	-3.87	-2.14833	-3.92e-01	CHN2	chimerin 2
201348_at	0.03533377	3.98e-03	-3.87	-2.14999	-9.63e-01	GPX3	glutathione peroxidase 3
206308_at	0.03533905	3.98e-03	-3.87	-2.15082	-2.54e-01	TRDMT1	tRNA aspartic acid methyltransferase 1
211742_s_at	0.03533905	3.98e-03	3.87	-2.15097	3.59e-01	EVI2B	ecotropic viral integration site 2B
213602_s_at	0.03534691	3.98e-03	-3.87	-2.15161	-3.13e-01		
214780_s_at	0.0354408	4.00e-03	3.87	-2.15477	2.33e-01	MYO9B	myosin IXB
212779_at	0.03545712	4.00e-03	-3.87	-2.15566	-2.20e-01	KIAA1109	KIAA1109
208742_s_at	0.03547789	4.00e-03	-3.87	-2.15668	-2.61e-01	SAP18	Sin3A associated protein 18
201282_at	0.03549797	4.01e-03	-3.87	-2.15767	-3.14e-01	OGDH	oxoglutarate dehydrogenase
206925_at	0.03560081	4.02e-03	3.86	-2.16132	3.36e-01	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
218384_at	0.03560081	4.02e-03	3.86	-2.16149	5.30e-01	CARHSP1	calcium regulated heat stable protein 1
209322_s_at	0.0356035	4.02e-03	-3.86	-2.16198	-1.77e-01	SH2B1	SH2B adaptor protein 1
203357_s_at	0.0356035	4.02e-03	-3.86	-2.16239	-2.99e-01	CAPN7	calpain 7
205729_at	0.03562323	4.03e-03	3.86	-2.16337	4.22e-01	OSMR	oncostatin M receptor
218886_at	0.03563272	4.03e-03	3.86	-2.16406	3.15e-01	PAK1IP1	PAK1 interacting protein 1
221928_at	0.03565553	4.04e-03	-3.86	-2.16513	-4.76e-01	ACACB	acetyl-CoA carboxylase beta
207111_at	0.03565732	4.04e-03	3.86	-2.16559	6.14e-01	ADGRE1	adhesion G protein-coupled receptor E1
212658_at	0.03566484	4.04e-03	3.86	-2.16622	3.72e-01	LHFPL2	lipoma HMGIC fusion partner-like 2
200831_s_at	0.03569776	4.05e-03	3.86	-2.16794	4.48e-01	SCD	stearoyl-CoA desaturase
207483_s_at	0.03569776	4.05e-03	3.86	-2.168	1.85e-01	CAND1	cullin associated and neddylation dissociated 1
202730_s_at	0.03569894	4.05e-03	-3.86	-2.16844	-5.16e-01	MIR4680///PDCD4	microRNA 4680///programmed cell death 4 (neoplastic transformation inhibitor)
205364_at	0.03573315	4.05e-03	-3.86	-2.16984	-5.71e-01	ACOX2	acyl-CoA oxidase 2
35147_at	0.03581809	4.07e-03	-3.86	-2.17294	-2.66e-01	MCF2L	MCF.2 cell line derived transforming sequence like
206355_at	0.03581809	4.07e-03	-3.86	-2.17348	-2.06e-01	GNAL	G protein subunit alpha L
202123_s_at	0.03581809	4.07e-03	-3.86	-2.17368	-2.54e-01	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase
218149_s_at	0.03581809	4.07e-03	-3.86	-2.17402	-5.56e-01	ZNF395	zinc finger protein 395
200655_s_at	0.03581809	4.07e-03	3.86	-2.17434	3.31e-01	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1
216913_s_at	0.03584743	4.08e-03	3.85	-2.17596	3.22e-01	RRP12	ribosomal RNA processing 12 homolog
205253_at	0.03584743	4.08e-03	-3.85	-2.17614	-5.20e-01	PBX1	PBX homeobox 1
200620_at	0.03584743	4.08e-03	-3.85	-2.17691	-2.28e-01	TMEM59	transmembrane protein 59
49679_s_at	0.03584743	4.08e-03	-3.85	-2.17723	-2.58e-01	MMP24-AS1	MMP24 antisense RNA 1
218146_at	0.03584743	4.08e-03	-3.85	-2.17723	-2.80e-01	GLT8D1	glycosyltransferase 8 domain containing 1
210414_at	0.035864	4.09e-03	-3.85	-2.17858	-2.79e-01	FLRT1	fibronectin leucine rich transmembrane protein 1
203332_s_at	0.035864	4.09e-03	3.85	-2.17887	2.49e-01	INPP5D	inositol polyphosphate-5-phosphatase D
203046_s_at	0.035864	4.09e-03	3.85	-2.17893	3.31e-01	TIMELESS	timeless circadian clock
205613_at	0.03589728	4.10e-03	-3.85	-2.18029	-5.30e-01	SYT17	synaptotagmin 17
209716_at	0.03597792	4.11e-03	3.85	-2.18302	4.24e-01	CSF1	colony stimulating factor 1
209591_s_at	0.03604311	4.12e-03	-3.85	-2.18537	-6.35e-01	BMP7	bone morphogenetic protein 7
200757_s_at	0.03604311	4.12e-03	3.85	-2.18571	4.14e-01	CALU	calumenin
204082_at	0.03606434	4.12e-03	-3.85	-2.18762	-3.07e-01	PBX3	PBX homeobox 3
206115_at	0.03606434	4.13e-03	-3.85	-2.18791	-5.69e-01	EGR3	early growth response 3
203047_at	0.03606434	4.13e-03	3.85	-2.18798	5.31e-01	STK10	serine/threonine kinase 10
202663_at	0.03606434	4.13e-03	3.85	-2.18807	3.62e-01	WIPF1	WAS/WASL interacting protein family member 1
203057_s_at	0.03606434	4.13e-03	-3.85	-2.18841	-3.48e-01	PRDM2	PR/SET domain 2
203188_at	0.03606434	4.13e-03	-3.85	-2.18895	-2.21e-01	B4GAT1	beta-1,4-glucuronyltransferase 1
203432_at	0.03606434	4.13e-03	3.85	-2.18928	4.44e-01	TMPO	thymopoietin
216852_x_at	0.03606434	4.13e-03	3.85	-2.18956	2.25e-01	IGLJ3	immunoglobulin lambda joining 3
209907_s_at	0.03610033	4.14e-03	-3.85	-2.19134	-3.87e-01	ITSN2	intersectin 2
200028_s_at	0.03610033	4.14e-03	-3.84	-2.1914	-2.09e-01	STARD7	StAR related lipid transfer domain containing 7
216586_at	0.03624161	4.16e-03	3.84	-2.19585	4.30e-01	UNGP2	uracil-DNA glycosylase pseudogene 2
203514_at	0.03635231	4.17e-03	3.84	-2.1994	1.76e-01	MAP3K3	mitogen-activated protein kinase kinase kinase 3
218500_at	0.03637486	4.18e-03	-3.84	-2.20045	-4.13e-01	THEM6	thioesterase superfamily member 6
219332_at	0.0364458	4.19e-03	3.84	-2.20287	2.66e-01	MICALL2	MICAL like 2
210137_s_at	0.03648386	4.19e-03	-3.84	-2.20435	-2.88e-01	DCTD	dCMP deaminase
201252_at	0.03649038	4.20e-03	3.84	-2.20549	2.31e-01	PSMC4	proteasome 26S subunit, ATPase 4
38703_at	0.03649038	4.20e-03	3.84	-2.20549	2.78e-01	DNPEP	aspartyl aminopeptidase
216885_s_at	0.03649038	4.20e-03	-3.84	-2.20575	-2.71e-01	DCAF8	DDB1 and CUL4 associated factor 8
218312_s_at	0.03655412	4.21e-03	-3.83	-2.20796	-9.93e-01	ZSCAN18	zinc finger and SCAN domain containing 18
203305_at	0.03660612	4.21e-03	3.83	-2.21004	6.33e-01	F13A1	coagulation factor XIII A chain
221884_at	0.03660612	4.22e-03	3.83	-2.21033	3.86e-01	MECOM	MDS1 and EVI1 complex locus
221521_s_at	0.03660612	4.22e-03	3.83	-2.21064	5.32e-01	GINS2	GINS complex subunit 2
203793_x_at	0.03661657	4.22e-03	-3.83	-2.21133	-2.24e-01	PCGF2	polycomb group ring finger 2
202738_s_at	0.03664717	4.23e-03	-3.83	-2.2126	-3.17e-01	PHKB	phosphorylase kinase regulatory subunit beta
205295_at	0.03665236	4.23e-03	-3.83	-2.21315	-4.33e-01	CKMT2	creatine kinase, mitochondrial 2
AFFX-HUMISGF3A/M97935_5_at	0.03668995	4.23e-03	3.83	-2.21461	4.18e-01	STAT1	signal transducer and activator of transcription 1
91826_at	0.03670461	4.24e-03	-3.83	-2.21543	-4.70e-01	EPS8L1	EPS8 like 1
214862_x_at	0.03672337	4.24e-03	-3.83	-2.21636	-3.49e-01	TET1	tet methylcytosine dioxygenase 1
221812_at	0.03686447	4.26e-03	-3.83	-2.22072	-2.45e-01	FBXO42	F-box protein 42
200790_at	0.0368733	4.26e-03	-3.83	-2.22137	-4.09e-01	ODC1	ornithine decarboxylase 1
209668_x_at	0.03688544	4.26e-03	-3.83	-2.2223	-2.92e-01	CES2	carboxylesterase 2
220623_s_at	0.03688544	4.27e-03	-3.83	-2.22252	-2.08e-01	TSGA10	testis specific 10
203329_at	0.03692083	4.27e-03	-3.82	-2.22397	-5.24e-01	PTPRM	protein tyrosine phosphatase, receptor type M
205474_at	0.03692083	4.27e-03	3.82	-2.22431	2.61e-01	CRLF3	cytokine receptor like factor 3
