ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
7988093	1.52e-01	4.61e-02	-2.2960463	-5.1886	-0.3882496	TP53BP1	tumor protein p53 binding protein 1
8050713	1.52e-01	4.61e-02	-2.2960329	-5.18862	-0.2961743	PFN4	profilin family member 4
7926299	1.52e-01	4.61e-02	2.2957873	-5.18902	0.4557956	HSPA14	heat shock protein family A (Hsp70) member 14
8177044	1.52e-01	4.61e-02	-2.2957548	-5.18908	-1.055562		
8079392	1.52e-01	4.61e-02	2.2952654	-5.18987	1.2927496	CCR2	C-C motif chemokine receptor 2
8038993	1.52e-01	4.61e-02	-2.2951874	-5.19	-0.6991107	ZNF28	zinc finger protein 28
7899627	1.52e-01	4.62e-02	-2.2946363	-5.19089	-1.6978874	TINAGL1	tubulointerstitial nephritis antigen like 1
8021756	1.52e-01	4.62e-02	-2.2945041	-5.1911	-0.3456388	ZNF407	zinc finger protein 407
8014259	1.52e-01	4.62e-02	2.29441	-5.19126	0.6152356	SLFN14	schlafen family member 14
8175098	1.52e-01	4.62e-02	2.294327	-5.19139	0.3919324	GPR119	G protein-coupled receptor 119
8116952	1.52e-01	4.62e-02	2.2941962	-5.1916	0.9281199		
8168843	1.52e-01	4.62e-02	2.2941169	-5.19173	0.5770524	RPL36A-HNRNPH2///FSTL5///RPL36A	RPL36A-HNRNPH2 readthrough///follistatin like 5///ribosomal protein L36a
8107109	1.52e-01	4.62e-02	2.294114	-5.19173	0.3067078		
7960383	1.52e-01	4.62e-02	-2.2938415	-5.19218	-0.7301448	PARP11	poly(ADP-ribose) polymerase family member 11
7971711	1.52e-01	4.62e-02	2.2937597	-5.19231	0.2696034		
8052784	1.52e-01	4.62e-02	-2.2936739	-5.19245	-0.5889161	NFU1	NFU1 iron-sulfur cluster scaffold
8102775	1.52e-01	4.62e-02	2.2935446	-5.19266	0.4273052		
8029958	1.52e-01	4.63e-02	-2.2934221	-5.19286	-0.464982	GLTSCR2	glioma tumor suppressor candidate region gene 2
7893444	1.52e-01	4.63e-02	-2.293173	-5.19326	-0.6717558		
7925511	1.52e-01	4.63e-02	2.2927416	-5.19396	0.3692693	PLD5	phospholipase D family member 5
8125017	1.52e-01	4.63e-02	-2.2927064	-5.19402	-0.3451267	ABHD16A	abhydrolase domain containing 16A
8178561	1.52e-01	4.63e-02	-2.2927064	-5.19402	-0.3451267	ABHD16A	abhydrolase domain containing 16A
7902290	1.52e-01	4.63e-02	-2.292587	-5.19421	-0.6475812	CTH	cystathionine gamma-lyase
8163614	1.52e-01	4.63e-02	-2.2925652	-5.19424	-0.5858505		
8032761	1.52e-01	4.63e-02	2.2924856	-5.19437	0.2959858	MAP2K2	mitogen-activated protein kinase kinase 2
8159646	1.52e-01	4.63e-02	2.2923445	-5.1946	0.3067999	STPG3	sperm-tail PG-rich repeat containing 3
8068919	1.52e-01	4.63e-02	2.2922573	-5.19474	0.559791	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase
8038643	1.52e-01	4.64e-02	2.2920621	-5.19506	0.23015	KLK15	kallikrein related peptidase 15
8002523	1.52e-01	4.64e-02	-2.2919864	-5.19518	-0.4553862	CMTR2	cap methyltransferase 2
8133345	1.53e-01	4.64e-02	-2.2917498	-5.19557	-0.7088962	WBSCR22	Williams-Beuren syndrome chromosome region 22
7941900	1.53e-01	4.64e-02	2.2914906	-5.19599	0.4553854	RPS6KB2	ribosomal protein S6 kinase B2
7905817	1.53e-01	4.64e-02	2.2912493	-5.19638	0.2491002	CHRNB2	cholinergic receptor nicotinic beta 2 subunit
8138370	1.53e-01	4.64e-02	-2.2912198	-5.19642	-0.7299462	ANKMY2	ankyrin repeat and MYND domain containing 2
8015890	1.53e-01	4.64e-02	2.2909412	-5.19688	0.7276365	PYY	peptide YY
8003313	1.53e-01	4.65e-02	2.2906268	-5.19739	1.0965455	CA5A	carbonic anhydrase 5A
7909603	1.53e-01	4.65e-02	-2.2903096	-5.1979	-0.3813578	NENF	neudesin neurotrophic factor
8034393	1.53e-01	4.65e-02	-2.2899479	-5.19849	-0.6415417	ZNF443	zinc finger protein 443
8140061	1.53e-01	4.65e-02	-2.2897916	-5.19874	-0.3591899	BCL7B	BCL tumor suppressor 7B
8078046	1.53e-01	4.65e-02	2.2896102	-5.19903	0.3205693	C3orf20	chromosome 3 open reading frame 20
7973327	1.53e-01	4.66e-02	2.2893851	-5.1994	0.523677	MRPL52	mitochondrial ribosomal protein L52
7965673	1.53e-01	4.66e-02	2.2886622	-5.20057	0.2796633		
8028275	1.53e-01	4.66e-02	-2.2885288	-5.20078	-0.7063834		
8128258	1.53e-01	4.66e-02	-2.2885048	-5.20082	-0.3849415		
8065948	1.53e-01	4.66e-02	2.2884084	-5.20098	0.4280505	FER1L4	fer-1 like family member 4, pseudogene
7968632	1.53e-01	4.67e-02	-2.2882314	-5.20127	-0.7074383	SPG20-AS1	SPG20 antisense RNA 1
7896490	1.53e-01	4.67e-02	2.2881419	-5.20141	0.3987558		
7942061	1.53e-01	4.67e-02	2.2876646	-5.20218	0.7454502		
8067221	1.53e-01	4.67e-02	2.2872606	-5.20284	0.4982945	ZBP1	Z-DNA binding protein 1
8052753	1.53e-01	4.67e-02	2.2871268	-5.20305	0.4180699	GKN2	gastrokine 2
8176779	1.53e-01	4.67e-02	2.2871063	-5.20309	0.2809358		
7973530	1.53e-01	4.68e-02	2.2869318	-5.20337	0.3606816	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial
8026503	1.54e-01	4.68e-02	2.2866391	-5.20384	0.3064396	LINC00905	long intergenic non-protein coding RNA 905
8038288	1.54e-01	4.68e-02	2.28642	-5.2042	0.3030633	CGB2///CGB1///CGB8///CGB7///CGB5///LHB///CGB3///CGB7	chorionic gonadotropin beta subunit 2///chorionic gonadotropin beta subunit 1///chorionic gonadotropin beta subunit 8///chorionic gonadotropin beta subunit 7///chorionic gonadotropin beta subunit 5///luteinizing hormone beta polypeptide///chorionic gonadotropin beta subunit 3///chorionic gonadotropin beta subunit 7
7898663	1.54e-01	4.68e-02	-2.2863561	-5.2043	-0.47287	PINK1	PTEN induced putative kinase 1
7916130	1.54e-01	4.68e-02	2.286048	-5.2048	0.5936747	KTI12///TXNDC12	KTI12 chromatin associated homolog///thioredoxin domain containing 12
8045425	1.54e-01	4.69e-02	2.2856038	-5.20552	0.4414424	R3HDM1	R3H domain containing 1
7903854	1.54e-01	4.69e-02	2.2854169	-5.20582	0.3795095	SLC6A17	solute carrier family 6 member 17
8138009	1.54e-01	4.69e-02	-2.28488	-5.20669	-0.3605474	RSPH10B2///RSPH10B	radial spoke head 10 homolog B2///radial spoke head 10 homolog B
8143486	1.54e-01	4.69e-02	2.2846883	-5.207	0.3896203	PRSS58	protease, serine 58
8125752	1.54e-01	4.69e-02	-2.2844574	-5.20738	-0.5333441	CUTA	cutA divalent cation tolerance homolog
8113234	1.54e-01	4.70e-02	2.2843884	-5.20749	0.7632791	PCSK1	proprotein convertase subtilisin/kexin type 1
7950442	1.54e-01	4.70e-02	2.2842635	-5.20769	0.2716282		
7897172	1.54e-01	4.70e-02	-2.2841897	-5.20781	-0.3015133	TPRG1L	tumor protein p63 regulated 1-like
7979269	1.54e-01	4.70e-02	2.2840799	-5.20799	0.2916313	GCH1	GTP cyclohydrolase 1
7935855	1.54e-01	4.70e-02	2.283834	-5.20839	0.369367	LBX1	ladybird homeobox 1
8049722	1.54e-01	4.70e-02	2.2838317	-5.20839	0.2730858	GPR35	G protein-coupled receptor 35
7901361	1.54e-01	4.70e-02	-2.2836395	-5.2087	-1.8023601		
8060061	1.54e-01	4.70e-02	2.2833683	-5.20914	0.3032505	MGC16025	uncharacterized LOC85009
8079107	1.54e-01	4.70e-02	2.2831664	-5.20947	0.2581892	KLHL40	kelch like family member 40
8089289	1.54e-01	4.71e-02	-2.2831423	-5.20951	-1.4481141		
8159255	1.54e-01	4.71e-02	2.2827781	-5.21009	0.3057398	LCN1	lipocalin 1
8047565	1.54e-01	4.71e-02	-2.2826238	-5.21034	-0.6653759	FAM117B	family with sequence similarity 117 member B
8014551	1.54e-01	4.71e-02	-2.2820623	-5.21125	-0.3926501	SYNRG	synergin, gamma
8006345	1.54e-01	4.71e-02	-2.2819395	-5.21145	-0.566904	RHOT1	ras homolog family member T1
8167270	1.54e-01	4.72e-02	2.2818259	-5.21164	0.6796639	FTSJ1	FtsJ RNA methyltransferase homolog 1 (E. coli)
7994603	1.54e-01	4.72e-02	2.2814128	-5.2123	1.3313034	SPN	sialophorin
7918878	1.54e-01	4.72e-02	-2.2813225	-5.21245	-1.7809063	CASQ2	calsequestrin 2
8025788	1.55e-01	4.72e-02	2.2811751	-5.21269	0.3607218	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
8110604	1.55e-01	4.72e-02	2.2810819	-5.21284	0.3307417		
8005683	1.55e-01	4.72e-02	2.2810445	-5.2129	0.5868437		
8111220	1.55e-01	4.72e-02	2.2809059	-5.21312	2.253011	CDH18	cadherin 18
7979341	1.55e-01	4.72e-02	2.2808043	-5.21329	0.3211271	TBPL2	TATA-box binding protein like 2
8021208	1.55e-01	4.73e-02	2.2805875	-5.21364	0.6160428	ME2	malic enzyme 2
8095543	1.55e-01	4.73e-02	2.2805178	-5.21375	0.6350506		
8087485	1.55e-01	4.73e-02	2.2803898	-5.21396	0.3818603	UBA7	ubiquitin like modifier activating enzyme 7
8156759	1.55e-01	4.73e-02	2.2799393	-5.21469	0.4801905		
7895945	1.55e-01	4.73e-02	2.27944	-5.2155	0.5561511		
7986665	1.55e-01	4.73e-02	2.2794034	-5.21556	0.3312359	NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2
8013521	1.55e-01	4.74e-02	-2.279176	-5.21592	-0.654537		
7939265	1.55e-01	4.74e-02	2.2790225	-5.21617	0.2928358	NAT10	N-acetyltransferase 10
8157144	1.55e-01	4.74e-02	-2.2790166	-5.21618	-0.5695845	FAM206A	family with sequence similarity 206 member A
8148548	1.55e-01	4.74e-02	2.2788148	-5.21651	0.241268	PSCA	prostate stem cell antigen
8146898	1.55e-01	4.74e-02	2.2785394	-5.21695	0.279189		
8002209	1.55e-01	4.74e-02	2.2783577	-5.21725	0.2744855		
8026520	1.55e-01	4.74e-02	2.2782741	-5.21738	0.4500687	RAB8A	RAB8A, member RAS oncogene family
8035648	1.55e-01	4.74e-02	2.278225	-5.21746	0.3194869	TM6SF2	transmembrane 6 superfamily member 2
8044263	1.55e-01	4.75e-02	-2.277953	-5.2179	-0.5830287	RANBP2	RAN binding protein 2
7982086	1.55e-01	4.75e-02	-2.2779288	-5.21794	-1.0420834	SNORD115-40	small nucleolar RNA, C/D box 115-40
8075164	1.55e-01	4.75e-02	2.2779036	-5.21798	0.6276069	CHEK2	checkpoint kinase 2
8137091	1.55e-01	4.75e-02	-2.2778286	-5.2181	-0.4287987	ZNF398	zinc finger protein 398
8180403	1.55e-01	4.75e-02	-2.2778235	-5.21811	-1.0054096	TCAF1	TRPM8 channel associated factor 1
8166289	1.55e-01	4.75e-02	-2.2775524	-5.21855	-0.369118	CDKL5	cyclin dependent kinase like 5
7995907	1.55e-01	4.75e-02	-2.277442	-5.21873	-0.5455595	CETP	cholesteryl ester transfer protein
7973943	1.55e-01	4.75e-02	2.2773942	-5.21881	0.3067123	INSM2	INSM transcriptional repressor 2
8174103	1.55e-01	4.75e-02	2.2773736	-5.21884	0.7755317	GK3P///GK	glycerol kinase 3 pseudogene///glycerol kinase
7894338	1.55e-01	4.75e-02	2.2772749	-5.219	1.6726708		
8137979	1.55e-01	4.75e-02	2.2771838	-5.21915	0.2344711	ACTB	actin beta
8176865	1.55e-01	4.76e-02	-2.2767941	-5.21978	-0.6449979	LOC100134822///LINC00266-1///PCMTD2	uncharacterized LOC100134822///long intergenic non-protein coding RNA 266-1///protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
8177460	1.55e-01	4.76e-02	-2.2767941	-5.21978	-0.6449979	LOC100134822///LINC00266-1///PCMTD2	uncharacterized LOC100134822///long intergenic non-protein coding RNA 266-1///protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
8094340	1.55e-01	4.76e-02	-2.2767114	-5.21991	-0.319672	MIR218-1	microRNA 218-1
7892876	1.55e-01	4.76e-02	-2.2766329	-5.22004	-1.1811323		
7926875	1.55e-01	4.76e-02	2.2763947	-5.22042	1.2429833	BAMBI	BMP and activin membrane bound inhibitor
8127752	1.55e-01	4.76e-02	2.2763455	-5.2205	0.2632581		
8073992	1.55e-01	4.76e-02	2.2759324	-5.22117	0.419969	PANX2	pannexin 2
8176484	1.55e-01	4.76e-02	2.2759193	-5.22119	0.2968778	TSPY10///TSPY4///TSPY3///TSPY2///TSPY1	testis specific protein, Y-linked 10///testis specific protein, Y-linked 4///testis specific protein, Y-linked 3///testis specific protein, Y-linked 2///testis specific protein, Y-linked 1
8122405	1.55e-01	4.76e-02	2.2759048	-5.22121	0.2210378		
7953508	1.55e-01	4.76e-02	2.2757881	-5.2214	0.499259	TPI1	triosephosphate isomerase 1
8018814	1.55e-01	4.76e-02	2.2756031	-5.2217	0.2585518		
7931387	1.55e-01	4.77e-02	-2.2754189	-5.222	-0.3135575		
8157016	1.55e-01	4.77e-02	2.2753	-5.22219	0.517666	OR13D1	olfactory receptor family 13 subfamily D member 1
7935707	1.55e-01	4.77e-02	2.2751774	-5.22239	0.4944321	CHUK	conserved helix-loop-helix ubiquitous kinase
7969477	1.55e-01	4.77e-02	2.2751135	-5.22249	0.6258646		
7931159	1.55e-01	4.77e-02	-2.2749921	-5.22269	-0.6611667	PSTK///PSTK	phosphoseryl-tRNA kinase///phosphoseryl-tRNA kinase
7894402	1.56e-01	4.77e-02	2.2743528	-5.22372	0.2296612		
7900962	1.56e-01	4.77e-02	-2.2743505	-5.22373	-0.3654552	DMAP1	DNA methyltransferase 1 associated protein 1
7924756	1.56e-01	4.78e-02	-2.2737772	-5.22465	-0.4303294		
7932703	1.56e-01	4.78e-02	-2.2736024	-5.22494	-0.584566	ACBD5	acyl-CoA binding domain containing 5
8145225	1.56e-01	4.78e-02	2.2734802	-5.22514	0.2782953		
7992181	1.56e-01	4.79e-02	2.2729175	-5.22604	0.4921323	TPSB2///TPSD1///TPSAB1	tryptase beta 2 (gene/pseudogene)///tryptase delta 1///tryptase alpha/beta 1
8118293	1.56e-01	4.79e-02	2.2728627	-5.22613	0.3207795	MSH5-SAPCD1///MSH5	MSH5-SAPCD1 readthrough (NMD candidate)///mutS homolog 5
8047854	1.56e-01	4.79e-02	2.2727829	-5.22626	0.3972376	CCNYL1	cyclin Y like 1
8115948	1.56e-01	4.79e-02	2.2724552	-5.22679	0.2621229	SNCB	synuclein beta
8138504	1.56e-01	4.79e-02	-2.2723421	-5.22697	-0.6075953	RAPGEF5	Rap guanine nucleotide exchange factor 5
7940775	1.56e-01	4.79e-02	2.2718966	-5.22769	0.6939244	RARRES3///RARRES3	retinoic acid receptor responder 3///retinoic acid receptor responder 3
8025672	1.56e-01	4.80e-02	-2.2716501	-5.22809	-0.7862651	SLC44A2	solute carrier family 44 member 2
8007584	1.56e-01	4.80e-02	2.2714424	-5.22843	0.2462668	ASB16	ankyrin repeat and SOCS box containing 16
7895805	1.56e-01	4.80e-02	-2.271113	-5.22896	-2.2256005		
7896036	1.56e-01	4.80e-02	-2.2709147	-5.22928	-0.4530912		
8132805	1.56e-01	4.80e-02	2.2708062	-5.22946	0.3810464	VWC2	von Willebrand factor C domain containing 2
8061064	1.56e-01	4.80e-02	2.2707036	-5.22962	0.4318741		
8159111	1.56e-01	4.81e-02	2.2704903	-5.22997	0.4209567	WDR5	WD repeat domain 5
8024228	1.56e-01	4.81e-02	2.2703749	-5.23015	0.5430277	MIDN	midnolin
8018860	1.56e-01	4.81e-02	2.2702398	-5.23037	0.3473652	BIRC5	baculoviral IAP repeat containing 5
7936882	1.56e-01	4.81e-02	2.2700144	-5.23074	0.2472804	NKX1-2	NK1 homeobox 2
8157888	1.56e-01	4.81e-02	2.2698324	-5.23103	0.3031702		
7989834	1.57e-01	4.81e-02	-2.2693325	-5.23184	-0.5007993	VWA9	von Willebrand factor A domain containing 9
7912627	1.57e-01	4.82e-02	2.2691578	-5.23212	0.4745011		
7990652	1.57e-01	4.82e-02	2.269146	-5.23214	0.5008057		
8006409	1.57e-01	4.82e-02	2.2690593	-5.23228	0.5905537	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1
8151917	1.57e-01	4.82e-02	2.2690482	-5.2323	0.6012763	MTERF3	mitochondrial transcription termination factor 3
8037053	1.57e-01	4.82e-02	-2.2690336	-5.23232	-0.2550896	CEACAM7	carcinoembryonic antigen related cell adhesion molecule 7
8070286	1.57e-01	4.82e-02	2.2686358	-5.23296	0.3395649	DSCR4	Down syndrome critical region 4
7904953	1.57e-01	4.82e-02	-2.2685315	-5.23313	-0.7525481		
7898052	1.57e-01	4.82e-02	2.268244	-5.2336	0.3021924	PRAMEF15///PRAMEF20	PRAME family member 15///PRAME family member 20
7938208	1.57e-01	4.82e-02	2.2682224	-5.23363	0.3562048	RBMXL2	RNA binding motif protein, X-linked like 2
7997247	1.57e-01	4.82e-02	-2.2680974	-5.23383	-0.4487091	ZNRF1	zinc and ring finger 1, E3 ubiquitin protein ligase
8046746	1.57e-01	4.83e-02	2.2680056	-5.23398	0.293016	PPP1R1C	protein phosphatase 1 regulatory inhibitor subunit 1C
8022642	1.57e-01	4.83e-02	-2.2679977	-5.23399	-2.0490787		
8116859	1.57e-01	4.83e-02	-2.2679455	-5.23408	-0.4855771	TMEM14C	transmembrane protein 14C
8052742	1.57e-01	4.83e-02	-2.2679168	-5.23413	-0.4562792	FBXO48	F-box protein 48
7894208	1.57e-01	4.83e-02	2.2671136	-5.23542	0.4736055		
7986503	1.57e-01	4.83e-02	-2.2671009	-5.23544	-0.9956729	DNM1P46///DNM1P46	dynamin 1 pseudogene 46///dynamin 1 pseudogene 46
8164627	1.57e-01	4.83e-02	2.2668414	-5.23586	0.3597019	LOC401554	uncharacterized LOC401554
8072229	1.57e-01	4.84e-02	2.2667565	-5.236	0.2471145	NEFH	neurofilament heavy polypeptide
8041536	1.57e-01	4.84e-02	2.2667164	-5.23606	0.268979	CYP1B1-AS1	CYP1B1 antisense RNA 1
8074817	1.57e-01	4.84e-02	2.2666559	-5.23616	0.4409763	TOP3B	topoisomerase (DNA) III beta
7987772	1.57e-01	4.84e-02	2.266253	-5.23681	0.5448064	EHD4	EH domain containing 4
8142697	1.57e-01	4.84e-02	-2.2657529	-5.23762	-0.6019842	POT1	protection of telomeres 1
8030212	1.57e-01	4.85e-02	2.2653804	-5.23822	0.2926755	LIN7B	lin-7 homolog B, crumbs cell polarity complex component
7894842	1.57e-01	4.85e-02	2.2653707	-5.23824	0.3965884		
8059177	1.57e-01	4.85e-02	2.2650261	-5.23879	0.8720258	TUBA4A	tubulin alpha 4a
8088864	1.57e-01	4.85e-02	2.2650242	-5.2388	0.4105041		
8147049	1.57e-01	4.85e-02	2.2649294	-5.23895	0.5411004	FABP5P3///FABP5	fatty acid binding protein 5 pseudogene 3///fatty acid binding protein 5
7951703	1.57e-01	4.85e-02	2.2644764	-5.23968	0.2712296	DRD2	dopamine receptor D2
8167862	1.57e-01	4.86e-02	2.2641944	-5.24014	0.8834655	PAGE2B	PAGE family member 2B
8153380	1.57e-01	4.86e-02	2.2641086	-5.24028	0.3509862	LY6H	lymphocyte antigen 6 complex, locus H
7954785	1.57e-01	4.86e-02	2.2639735	-5.24049	1.1314863		
8169504	1.57e-01	4.86e-02	-2.2639281	-5.24057	-0.3755491	SLC6A14	solute carrier family 6 member 14
7896179	1.57e-01	4.86e-02	2.2638466	-5.2407	0.35458		
8093074	1.57e-01	4.86e-02	2.2637884	-5.24079	0.261058	ZDHHC19	zinc finger DHHC-type containing 19
7973010	1.57e-01	4.86e-02	2.2637776	-5.24081	0.2837934	OR4N2	olfactory receptor family 4 subfamily N member 2
7983679	1.58e-01	4.86e-02	2.2634149	-5.2414	0.5235504	AP4E1	adaptor related protein complex 4 epsilon 1 subunit
7895588	1.58e-01	4.86e-02	-2.2631539	-5.24182	-0.2849864		
8177261	1.58e-01	4.87e-02	2.2629699	-5.24211	0.3014374	TTTY10	testis-specific transcript, Y-linked 10 (non-protein coding)
7940431	1.58e-01	4.87e-02	-2.2628602	-5.24229	-0.747441	PGA4///PGA3///PGA5	pepsinogen 4, group I (pepsinogen A)///pepsinogen 3, group I (pepsinogen A)///pepsinogen 5, group I (pepsinogen A)
8127822	1.58e-01	4.87e-02	-2.2627995	-5.24239	-0.6490301		
8114645	1.58e-01	4.87e-02	2.26237	-5.24308	0.2867862		
8117288	1.58e-01	4.87e-02	2.2622795	-5.24323	0.2958333	SCGN	secretagogin, EF-hand calcium binding protein
7938000	1.58e-01	4.87e-02	2.2622218	-5.24332	0.3338861	OR51M1	olfactory receptor family 51 subfamily M member 1
8094342	1.58e-01	4.88e-02	-2.2618053	-5.24399	-0.6373996	PACRGL	PARK2 coregulated like
7990545	1.58e-01	4.88e-02	2.2612631	-5.24487	1.7310691	CSPG4	chondroitin sulfate proteoglycan 4
8154510	1.58e-01	4.88e-02	2.2612279	-5.24493	0.6212014		
7901052	1.58e-01	4.88e-02	2.2608825	-5.24548	0.4811584	SNORD38B	small nucleolar RNA, C/D box 38B
8140859	1.58e-01	4.88e-02	-2.2605871	-5.24596	-0.455955	MTERF1///MTERF1	mitochondrial transcription termination factor 1///mitochondrial transcription termination factor 1
7929315	1.58e-01	4.89e-02	2.2602948	-5.24643	0.3007353	CYP26C1	cytochrome P450 family 26 subfamily C member 1
8090565	1.58e-01	4.89e-02	-2.2599987	-5.24691	-0.4265877	SNORA7B	small nucleolar RNA, H/ACA box 7B
7894796	1.58e-01	4.89e-02	2.2599258	-5.24703	0.5913442		
7964976	1.58e-01	4.89e-02	2.259793	-5.24724	0.3116192	TRHDE-AS1	TRHDE antisense RNA 1
7975224	1.58e-01	4.89e-02	2.2597127	-5.24737	0.5333677	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha
8064676	1.58e-01	4.89e-02	2.2596676	-5.24744	0.3218599	GFRA4	GDNF family receptor alpha 4
7932528	1.58e-01	4.89e-02	2.2595977	-5.24756	0.4197678	EBLN1	endogenous Bornavirus-like nucleoprotein 1
8130785	1.58e-01	4.89e-02	2.2595629	-5.24761	0.2511647	GPR31	G protein-coupled receptor 31
7899480	1.58e-01	4.89e-02	2.259446	-5.2478	0.6478472	SNHG3///SNORA73A	small nucleolar RNA host gene 3///small nucleolar RNA, H/ACA box 73A
8048518	1.58e-01	4.90e-02	2.2592714	-5.24808	0.291911	TUBA4B	tubulin alpha 4b
8020653	1.58e-01	4.90e-02	2.2589589	-5.24859	0.4810535	CABYR	calcium binding tyrosine phosphorylation regulated
7939738	1.58e-01	4.90e-02	2.2588366	-5.24879	0.6310954	DDB2	damage specific DNA binding protein 2
7997810	1.58e-01	4.90e-02	2.2587901	-5.24886	0.3409278	CTU2	cytosolic thiouridylase subunit 2
8053379	1.58e-01	4.90e-02	2.2587628	-5.2489	0.4170575	TRABD2A	TraB domain containing 2A
7934161	1.58e-01	4.90e-02	2.2587369	-5.24895	1.458038	PRF1	perforin 1
7892600	1.58e-01	4.90e-02	2.2587233	-5.24897	1.6894513		
7914630	1.58e-01	4.90e-02	2.2584371	-5.24943	0.4819939	TRIM62	tripartite motif containing 62
7946567	1.58e-01	4.90e-02	-2.2583975	-5.24949	-0.6416816		
8176494	1.58e-01	4.90e-02	2.2583807	-5.24952	0.2915869	TSPY10///TSPY4///TSPY3///TSPY2///TSPY1	testis specific protein, Y-linked 10///testis specific protein, Y-linked 4///testis specific protein, Y-linked 3///testis specific protein, Y-linked 2///testis specific protein, Y-linked 1
7916609	1.58e-01	4.91e-02	-2.2580598	-5.25004	-0.9682842	JUN	Jun proto-oncogene, AP-1 transcription factor subunit
7948161	1.59e-01	4.91e-02	2.2576961	-5.25063	0.3912414	OR5G5P	olfactory receptor family 5 subfamily G member 5 pseudogene
8024204	1.59e-01	4.91e-02	2.2576756	-5.25066	0.3137633	STK11	serine/threonine kinase 11
7940046	1.59e-01	4.91e-02	2.2575604	-5.25084	0.4274272	CLP1	cleavage and polyadenylation factor I subunit 1
8051427	1.59e-01	4.91e-02	2.2574368	-5.25104	0.5633466	FEZ2	fasciculation and elongation protein zeta 2
7961757	1.59e-01	4.91e-02	2.2572819	-5.25129	0.9245433	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1
8077526	1.59e-01	4.91e-02	2.2572662	-5.25132	0.4534759		
7896062	1.59e-01	4.91e-02	2.2569068	-5.2519	0.3272553		
8021185	1.59e-01	4.92e-02	-2.2567878	-5.25209	-0.2734743		
7920146	1.59e-01	4.92e-02	2.2566801	-5.25227	0.4292132	RPTN	repetin
8100557	1.59e-01	4.92e-02	-2.2565823	-5.25242	-0.5359819	TECRL	trans-2,3-enoyl-CoA reductase-like
7927643	1.59e-01	4.92e-02	2.2564733	-5.2526	0.7267228		
8090295	1.59e-01	4.92e-02	-2.2564463	-5.25264	-0.6764383	SLC41A3	solute carrier family 41 member 3
8010113	1.59e-01	4.92e-02	2.256429	-5.25267	0.3670298	MGAT5B	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B
7940421	1.59e-01	4.92e-02	-2.2563477	-5.2528	-0.7451734	PGA4///PGA3///PGA5	pepsinogen 4, group I (pepsinogen A)///pepsinogen 3, group I (pepsinogen A)///pepsinogen 5, group I (pepsinogen A)
7896444	1.59e-01	4.92e-02	-2.2562384	-5.25298	-0.9295476		
7984001	1.59e-01	4.92e-02	2.2560602	-5.25326	0.3858998	GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type
8151250	1.59e-01	4.92e-02	2.2558813	-5.25355	0.3520373		
7907859	1.59e-01	4.93e-02	2.2556375	-5.25395	0.8172971		
7895193	1.59e-01	4.93e-02	-2.2554781	-5.2542	-0.4295395		
7903717	1.59e-01	4.93e-02	2.2553802	-5.25436	0.3354388	MIR197	microRNA 197
7928216	1.59e-01	4.93e-02	-2.255339	-5.25443	-0.2800749		
8061165	1.59e-01	4.93e-02	2.2549257	-5.25509	0.3371777		
8077993	1.59e-01	4.93e-02	2.2548967	-5.25514	0.2701027	TMEM43	transmembrane protein 43
8049825	1.59e-01	4.93e-02	2.2548645	-5.25519	0.2748793	HDLBP	high density lipoprotein binding protein
8059783	1.59e-01	4.93e-02	2.254856	-5.25521	0.4398245	NGEF	neuronal guanine nucleotide exchange factor
7939699	1.59e-01	4.93e-02	2.2547038	-5.25545	0.4597993	ZNF408	zinc finger protein 408
8037170	1.59e-01	4.93e-02	2.2545901	-5.25564	0.4490469	PAFAH1B3	platelet activating factor acetylhydrolase 1b catalytic subunit 3
8100202	1.59e-01	4.94e-02	-2.2543514	-5.25602	-0.7760292	CNGA1	cyclic nucleotide gated channel alpha 1
8155794	1.59e-01	4.94e-02	-2.2540172	-5.25656	-0.4717527	C9orf85	chromosome 9 open reading frame 85
7971965	1.59e-01	4.94e-02	-2.253388	-5.25757	-0.4296903	LOC100129884///LOC100129884	uncharacterized LOC100129884///uncharacterized LOC100129884
7930837	1.59e-01	4.94e-02	2.2533291	-5.25767	0.4060331	SLC18A2	solute carrier family 18 member A2
7968333	1.59e-01	4.94e-02	-2.2532892	-5.25773	-0.4163876	USPL1	ubiquitin specific peptidase like 1
8167942	1.59e-01	4.94e-02	-2.2532495	-5.2578	-0.3885669	ZXDB	zinc finger, X-linked, duplicated B
7957106	1.59e-01	4.95e-02	-2.2531807	-5.25791	-0.3741685	CNOT2	CCR4-NOT transcription complex subunit 2
