,Unnamed: 0,GeneID,padj,P.Value,lfcSE,stat,logFC,baseMean,Gene.symbol,Description
2044,2059,105379839,0.000793,7.06e-05,0.2426,-3.974222,-0.964026,97.67,LOC105379839,uncharacterized LOC105379839
2045,2060,9452,0.000794,7.07e-05,0.4241,-3.973819,-1.685237,1912.68,ITM2A,integral membrane protein 2A
2048,2063,102724927,0.000796,7.11e-05,0.477,-3.972647,-1.8950108,59.02,LINC02861,long intergenic non-protein coding RNA 2861
2049,2064,105374476,0.000799,7.13e-05,0.3743,-3.971837,-1.4866936,252.56,SLC2A9-AS1,SLC2A9 antisense RNA 1
2050,2065,105374421,0.000803,7.18e-05,0.325,-3.97023,-1.2904975,244.78,LOC105374421,uncharacterized LOC105374421
2051,2066,112268151,0.000803,7.18e-05,0.9112,-3.970211,-3.6177763,43.98,LOC112268151,uncharacterized LOC112268151
2053,2068,57604,0.000814,7.29e-05,0.3533,-3.966679,-1.4014684,6627.34,TRMT9B,tRNA methyltransferase 9B (putative)
2054,2069,28990,0.000825,7.39e-05,0.1734,-3.963404,-0.6873015,606.84,ASTE1,asteroid homolog 1
2055,2070,107986847,0.000825,7.39e-05,0.3308,-3.963352,-1.3112729,170.03,LOC107986847,uncharacterized LOC107986847
2057,2072,107984561,0.000827,7.41e-05,0.3222,-3.962579,-1.2767621,63.54,LOC107984561,uncharacterized LOC107984561
2058,2073,26018,0.000834,7.49e-05,0.2132,-3.960053,-0.8443234,2236.56,LRIG1,leucine rich repeats and immunoglobulin like domains 1
2061,2076,10888,0.000834,7.49e-05,0.5986,-3.960119,-2.3705477,235.07,GPR83,G protein-coupled receptor 83
2064,2079,100861514,0.000848,7.63e-05,0.5788,-3.955729,-2.2894385,249.02,ELMO1-AS1,ELMO1 antisense RNA 1
2066,2081,84188,0.00085,7.66e-05,0.1379,-3.954921,-0.5453902,1975.63,FAR1,fatty acyl-CoA reductase 1
2067,2082,84688,0.000854,7.7e-05,0.4804,-3.953629,-1.89933,31.16,C9orf24,chromosome 9 open reading frame 24
2068,2083,105375541,0.000855,7.71e-05,0.6357,-3.953384,-2.5132482,24.48,LOC105375541,uncharacterized LOC105375541
2070,2085,101929638,0.000858,7.74e-05,0.237,-3.952251,-0.9366489,79.26,LOC101929638,uncharacterized LOC101929638
2072,2087,100874029,0.00086,7.76e-05,0.3366,-3.951557,-1.3299579,50.49,CFAP44-AS1,CFAP44 antisense RNA 1
2075,2090,6586,0.000865,7.82e-05,0.3095,-3.949811,-1.2222789,3196.95,SLIT3,slit guidance ligand 3
2077,2092,100886964,0.000869,7.87e-05,0.3031,-3.948336,-1.1969211,1114.39,PTCSC3,papillary thyroid carcinoma susceptibility candidate 3
2079,2094,11096,0.000885,8.02e-05,0.3919,-3.943844,-1.5456165,1428.52,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5
2080,2095,107984952,0.000887,8.04e-05,0.3742,-3.943218,-1.475451,77.49,LOC107984952,uncharacterized LOC107984952
2081,2096,374491,0.000892,8.09e-05,0.5582,-3.9417,-2.2003808,26.65,TPTE2P6,TPTE2 pseudogene 6
2083,2098,157773,0.000893,8.11e-05,0.3778,-3.941187,-1.4888629,75.84,C8orf48,chromosome 8 open reading frame 48
2085,2100,10846,0.000899,8.17e-05,0.3808,-3.939212,-1.5002047,871.7,PDE10A,phosphodiesterase 10A
2086,2101,101927868,0.000899,8.17e-05,0.4261,-3.939229,-1.6786333,152.05,GRK5-IT1,GRK5 intronic transcript 1
2087,2102,83657,0.0009,8.18e-05,0.4211,-3.938967,-1.6586781,44.22,DYNLRB2,dynein light chain roadblock-type 2
2088,2103,100506888,0.0009,8.19e-05,0.544,-3.938641,-2.1426258,68.22,ELOA3DP,"elongin A3 family member D, pseudogene"
2096,2111,51267,0.000905,8.27e-05,0.4104,-3.936572,-1.6156183,119.52,CLEC1A,C-type lectin domain family 1 member A
2097,2112,105376162,0.000906,8.28e-05,0.5156,-3.936124,-2.0292738,16.17,HSD17B3-AS1,HSD17B3 antisense RNA 1
2098,2113,1139,0.000907,8.29e-05,0.5337,-3.935901,-2.1005391,218.76,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
2102,2117,2131,0.000914,8.37e-05,0.2751,-3.933456,-1.0822548,1723.48,EXT1,exostosin glycosyltransferase 1
2104,2119,105371496,0.00092,8.44e-05,0.8697,-3.931656,-3.4192765,32.5,LINC01975,long intergenic non-protein coding RNA 1975
2105,2120,107986275,0.000923,8.47e-05,0.806,-3.93072,-3.1679748,141.01,LOC107986275,uncharacterized LOC107986275
2106,2121,101927973,0.000925,8.49e-05,0.7621,-3.930171,-2.9952282,37.67,LINC01695,long intergenic non-protein coding RNA 1695
2108,2123,10584,0.000936,8.6e-05,0.5184,-3.926922,-2.035745,90.62,COLEC10,collectin subfamily member 10
2111,2126,105377406,0.000944,8.68e-05,0.7467,-3.924823,-2.9304732,19.89,LOC105377406,uncharacterized LOC105377406
2113,2128,3131,0.000944,8.7e-05,0.6195,-3.924387,-2.4311573,1289.55,HLF,"HLF transcription factor, PAR bZIP family member"
2117,2132,100127950,0.000952,8.78e-05,0.7707,-3.922043,-3.0226426,9.79,HECW1-IT1,HECW1 intronic transcript 1
2119,2134,8460,0.000955,8.81e-05,0.2302,-3.921202,-0.9024986,720.05,TPST1,tyrosylprotein sulfotransferase 1
2120,2135,5178,0.000956,8.84e-05,0.4786,-3.920529,-1.8765381,727.48,PEG3,paternally expressed 3
2121,2136,101927189,0.000961,8.88e-05,0.4942,-3.919239,-1.9368863,244.46,LOC101927189,uncharacterized LOC101927189
2123,2138,727909,0.000963,8.91e-05,0.4114,-3.918494,-1.6120931,395.68,GOLGA8Q,golgin A8 family member Q
2125,2140,79822,0.000966,8.94e-05,0.5081,-3.917629,-1.9903716,483.0,ARHGAP28,Rho GTPase activating protein 28
2126,2141,112267899,0.000967,8.95e-05,0.2897,-3.917307,-1.1350284,75.16,LOC112267899,uncharacterized LOC112267899
2128,2143,646736,0.000973,9.02e-05,0.8524,-3.915569,-3.3377304,243.37,LOC646736,uncharacterized LOC646736
2131,2146,11013,0.000983,9.13e-05,0.4879,-3.912602,-1.909132,16.78,TMSB15A,thymosin beta 15A
2136,2151,253935,0.000988,9.2e-05,0.5617,-3.910783,-2.1968159,26.97,ANGPTL5,angiopoietin like 5
2139,2154,127,0.00101,9.4e-05,0.5183,-3.905662,-2.0241633,29.65,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide"
2143,2158,81617,0.00101,9.47e-05,0.2289,-3.903866,-0.8935468,616.2,CAB39L,calcium binding protein 39 like
2144,2159,4135,0.00101,9.48e-05,0.3099,-3.90356,-1.2096667,317.75,MAP6,microtubule associated protein 6
2145,2160,1264,0.00102,9.5e-05,0.3255,-3.903096,-1.2704616,55.72,CNN1,calponin 1
2147,2162,152100,0.00102,9.53e-05,0.1497,-3.902212,-0.5840335,1058.31,CMC1,C-X9-C motif containing 1
2150,2165,406929,0.00102,9.59e-05,0.5243,-3.900667,-2.0449911,37.65,MIR138-1,microRNA 138-1
2151,2166,8313,0.00103,9.63e-05,0.3861,-3.899851,-1.5056615,667.24,AXIN2,axin 2
2153,2168,101927233,0.00104,9.75e-05,0.2361,-3.89675,-0.919908,78.22,SEMA6A-AS1,SEMA6A antisense RNA 1
2155,2171,341880,0.00105,9.83e-05,0.602,-3.894649,-2.3445756,61.76,SLC35F4,solute carrier family 35 member F4
2157,2173,146894,0.00105,9.92e-05,1.2074,-3.892563,-4.6999511,19.11,CD300LG,CD300 molecule like family member g
2159,2175,101927536,0.00106,9.97e-05,0.8153,-3.891228,-3.1725087,10.58,LOC101927536,uncharacterized LOC101927536
2161,2177,105369865,0.00106,0.0001,0.4517,-3.889918,-1.7570717,40.62,PPP1R12A-AS1,PPP1R12A antisense RNA 1
2163,2179,139411,0.00107,0.000101,0.8294,-3.888631,-3.2253693,208.19,PTCHD1,patched domain containing 1
2165,2181,23119,0.00107,0.000101,0.2397,-3.887428,-0.931666,491.77,HIC2,HIC ZBTB transcriptional repressor 2
2167,2183,105371090,0.00108,0.000102,0.3013,-3.886094,-1.1707,58.72,LOC105371090,uncharacterized LOC105371090
2170,2186,22997,0.00108,0.000102,0.4112,-3.885178,-1.5975169,784.55,IGSF9B,immunoglobulin superfamily member 9B
2171,2187,107986813,0.0011,0.000104,0.4086,-3.880864,-1.5856667,312.29,LOC107986813,uncharacterized LOC107986813
2172,2188,100652759,0.0011,0.000104,0.3352,-3.880686,-1.3008383,639.55,PRICKLE2-AS1,PRICKLE2 antisense RNA 1
2174,2190,104502416,0.00111,0.000105,0.3855,-3.879158,-1.4954053,70.81,FOXP1-AS1,FOXP1 antisense RNA 1
2176,2192,56923,0.00112,0.000107,0.8827,-3.874737,-3.4201461,9.78,NMUR2,neuromedin U receptor 2
2184,2200,84187,0.00115,0.000109,0.229,-3.869439,-0.8859436,2029.83,TMEM164,transmembrane protein 164
2185,2201,149483,0.00115,0.000109,0.2162,-3.869116,-0.8364237,187.65,CCDC17,coiled-coil domain containing 17
2187,2203,6004,0.00115,0.00011,0.4446,-3.868357,-1.7199322,2169.1,RGS16,regulator of G protein signaling 16
2189,2205,132720,0.00115,0.00011,0.2763,-3.867189,-1.0684585,330.31,FAM241A,family with sequence similarity 241 member A
2191,2207,101928937,0.00116,0.00011,0.6067,-3.866678,-2.3460684,13.01,LOC101928937,uncharacterized LOC101928937
2192,2208,100505625,0.00116,0.000111,0.3814,-3.865126,-1.4741135,23.39,LINC02102,long intergenic non-protein coding RNA 2102
2194,2210,105369828,0.00117,0.000112,0.1779,-3.863569,-0.6872763,383.26,LOC105369828,uncharacterized LOC105369828
2197,2213,6422,0.00118,0.000113,0.5457,-3.86045,-2.106515,245.5,SFRP1,secreted frizzled related protein 1
2203,2219,158787,0.00119,0.000114,0.3654,-3.858697,-1.4100485,101.66,RIBC1,RIB43A domain with coiled-coils 1
2208,2224,8544,0.00119,0.000115,0.3477,-3.857202,-1.3412655,67.23,PIR,pirin
2212,2228,105376533,0.00121,0.000116,0.4753,-3.853918,-1.8318932,20.79,LOC105376533,uncharacterized LOC105376533
2214,2230,51668,0.00121,0.000117,0.235,-3.852536,-0.9051815,375.27,HSPB11,heat shock protein family B (small) member 11
2216,2233,192217,0.00122,0.000117,0.6888,-3.85132,-2.6528251,49.98,OXCT2P1,3-oxoacid CoA-transferase 2 pseudogene 1
2219,2236,253260,0.00123,0.000119,0.1565,-3.848566,-0.6022264,5225.58,RICTOR,RPTOR independent companion of MTOR complex 2
2221,2238,105377732,0.00123,0.000119,0.9151,-3.847234,-3.5204607,41.13,LOC105377732,uncharacterized LOC105377732
2224,2241,540,0.00123,0.00012,0.31,-3.846663,-1.1924856,299.06,ATP7B,ATPase copper transporting beta
2225,2242,100189001,0.00124,0.00012,0.8167,-3.846436,-3.1412816,26.84,TRY-GTA5-5,tRNA-Tyr (anticodon GTA) 5-5
2227,2244,105376447,0.00124,0.00012,0.2772,-3.845607,-1.066043,248.62,LOC105376447,uncharacterized LOC105376447
2228,2245,3170,0.00124,0.000121,0.9963,-3.844858,-3.8305661,35.86,FOXA2,forkhead box A2
2229,2246,55300,0.00124,0.000121,0.1939,-3.8442,-0.7455011,1549.25,PI4K2B,phosphatidylinositol 4-kinase type 2 beta
2230,2247,51560,0.00125,0.000121,0.1782,-3.843724,-0.6849211,312.58,RAB6B,"RAB6B, member RAS oncogene family"
2231,2248,6567,0.00125,0.000121,0.3988,-3.843621,-1.5329987,853.35,SLC16A2,solute carrier family 16 member 2
2232,2249,138649,0.00125,0.000121,0.2465,-3.843492,-0.9475376,91.04,ANKRD19P,"ankyrin repeat domain 19, pseudogene"
2235,2252,9265,0.00126,0.000123,0.3363,-3.84031,-1.291619,2142.0,CYTH3,cytohesin 3
2241,2258,50614,0.00128,0.000125,0.6489,-3.83669,-2.4894553,136.14,GALNT9,polypeptide N-acetylgalactosaminyltransferase 9
2243,2260,5649,0.00128,0.000125,1.0423,-3.835664,-3.9977664,833.18,RELN,reelin
2244,2262,729041,0.00129,0.000126,0.3912,-3.8342,-1.4999196,74.73,FAAHP1,fatty acid amide hydrolase pseudogene 1
2246,2264,146556,0.00129,0.000126,0.4571,-3.833755,-1.7523201,1792.85,C16orf89,chromosome 16 open reading frame 89
2252,2270,4921,0.00131,0.000129,0.4329,-3.828548,-1.6574779,2424.88,DDR2,discoidin domain receptor tyrosine kinase 2
2258,2276,2890,0.00132,0.00013,0.9344,-3.826602,-3.5755395,18.36,GRIA1,glutamate ionotropic receptor AMPA type subunit 1
2259,2277,54332,0.00132,0.00013,0.2665,-3.826504,-1.0196768,558.5,GDAP1,ganglioside induced differentiation associated protein 1
2260,2278,203859,0.00133,0.000131,0.3695,-3.823908,-1.4129956,746.3,ANO5,anoctamin 5
2262,2280,107985320,0.00133,0.000131,0.3641,-3.823827,-1.3921304,42.05,LOC107985320,uncharacterized LOC107985320
2263,2281,100506555,0.00134,0.000132,0.4289,-3.822797,-1.6395245,27.85,NECTIN3-AS1,NECTIN3 antisense RNA 1
2264,2282,100616306,0.00135,0.000133,0.434,-3.820888,-1.6582635,36.34,MIR378H,microRNA 378h
2265,2283,100874007,0.00135,0.000134,0.5238,-3.819184,-2.000679,14.74,VIPR1-AS1,VIPR1 antisense RNA 1
2268,2286,83483,0.00136,0.000134,0.2516,-3.818318,-0.9606596,2142.69,PLVAP,plasmalemma vesicle associated protein
2269,2287,101927587,0.00137,0.000135,0.4898,-3.817018,-1.8696121,107.12,LINC01725,long intergenic non-protein coding RNA 1725
2270,2288,8715,0.00137,0.000136,1.1337,-3.815732,-4.3259584,178.74,NOL4,nucleolar protein 4
2274,2292,283417,0.00138,0.000137,0.4918,-3.813936,-1.8755675,2442.99,DPY19L2,dpy-19 like 2
2277,2295,23409,0.00139,0.000138,0.3799,-3.811096,-1.4476765,114.61,SIRT4,sirtuin 4
2280,2298,653073,0.0014,0.000139,0.3805,-3.809938,-1.4497947,182.4,GOLGA8J,golgin A8 family member J
2282,2302,105369228,0.00141,0.000141,0.3557,-3.806819,-1.3540094,253.46,LOC105369228,uncharacterized LOC105369228
2287,2307,105370567,0.00142,0.000142,0.1393,-3.804606,-0.529878,285.61,LOC105370567,uncharacterized LOC105370567
2291,2311,219681,0.00145,0.000145,1.1251,-3.799489,-4.2748112,9.64,ARMC3,armadillo repeat containing 3
2293,2313,25925,0.00145,0.000145,0.4483,-3.798868,-1.7029422,591.66,ZNF521,zinc finger protein 521
2294,2314,348751,0.00145,0.000146,0.4303,-3.798469,-1.6344157,1337.06,FTCDNL1,formiminotransferase cyclodeaminase N-terminal like
2295,2315,441239,0.00145,0.000146,0.5403,-3.798518,-2.0522098,43.83,LOC441239,uncharacterized LOC441239
2298,2318,79632,0.00146,0.000146,0.3748,-3.797354,-1.4233291,318.9,FAM184A,family with sequence similarity 184 member A
2300,2320,594,0.00146,0.000147,0.2043,-3.796555,-0.7756585,1121.89,BCKDHB,branched chain keto acid dehydrogenase E1 subunit beta
2301,2321,105370461,0.00146,0.000147,0.2901,-3.796491,-1.1012331,401.13,LOC105370461,uncharacterized LOC105370461
2302,2322,6910,0.00146,0.000147,0.9963,-3.795792,-3.7818872,22.72,TBX5,T-box transcription factor 5
2303,2323,3908,0.00147,0.000147,0.5,-3.795588,-1.8976317,1829.71,LAMA2,laminin subunit alpha 2
2305,2325,200205,0.00147,0.000148,0.2093,-3.79406,-0.7942685,529.65,IBA57,iron-sulfur cluster assembly factor IBA57
2306,2326,55679,0.00148,0.000149,0.3286,-3.793455,-1.2465332,419.64,LIMS2,LIM zinc finger domain containing 2
2309,2329,9145,0.00148,0.00015,0.3944,-3.791775,-1.4956319,355.08,SYNGR1,synaptogyrin 1
2310,2330,51115,0.00149,0.00015,0.1855,-3.790592,-0.7032246,2545.78,RMDN1,regulator of microtubule dynamics 1
2311,2331,338758,0.00149,0.00015,0.4241,-3.790525,-1.6074857,71.84,ATP2B1-AS1,ATP2B1 antisense RNA 1
2312,2332,83878,0.0015,0.000151,0.3385,-3.789481,-1.2827306,56.96,USHBP1,USH1 protein network component harmonin binding protein 1
2315,2336,80312,0.00151,0.000153,0.3154,-3.786168,-1.1942395,1040.42,TET1,tet methylcytosine dioxygenase 1
2317,2338,105373265,0.00152,0.000154,0.3644,-3.784682,-1.3792982,123.18,LOC105373265,uncharacterized LOC105373265
2318,2339,105376033,0.00152,0.000154,0.2861,-3.784261,-1.082847,173.58,LOC105376033,uncharacterized LOC105376033
2319,2340,107986596,0.00153,0.000155,0.4766,-3.783721,-1.8032538,23.33,LOC107986596,uncharacterized LOC107986596
2320,2341,641700,0.00153,0.000155,0.291,-3.782731,-1.1006856,292.0,ECSCR,endothelial cell surface expressed chemotaxis and apoptosis regulator
2322,2343,5613,0.00154,0.000156,0.2341,-3.781183,-0.8851367,3724.07,PRKX,protein kinase cAMP-dependent X-linked catalytic subunit
2324,2345,104355297,0.00154,0.000157,0.7601,-3.780444,-2.8735021,24.22,ABCA9-AS1,ABCA9 antisense RNA 1
2327,2348,112609,0.00154,0.000157,0.3885,-3.780176,-1.4684381,41.29,MRAP2,melanocortin 2 receptor accessory protein 2
2329,2350,105369420,0.00154,0.000157,0.4563,-3.779639,-1.7244833,28.8,LOC105369420,uncharacterized LOC105369420
2332,2354,107984126,0.00155,0.000158,0.3776,-3.778339,-1.4265358,45.3,LOC107984126,zinc finger protein 658B-like
2333,2355,105370542,0.00155,0.000158,0.4438,-3.777979,-1.6766807,181.72,LOC105370542,uncharacterized LOC105370542
2334,2356,101928931,0.00155,0.000158,0.5164,-3.777561,-1.9508288,42.67,SEMA3B-AS1,SEMA3B antisense RNA 1 (head to head)
2335,2357,105377713,0.00156,0.000159,0.4409,-3.777175,-1.6653871,27.84,LOC105377713,uncharacterized LOC105377713
2336,2358,6419,0.00156,0.000159,0.2119,-3.776221,-0.8000365,1062.24,SETMAR,SET domain and mariner transposase fusion gene
2337,2359,8425,0.00156,0.00016,0.2922,-3.775621,-1.1032873,3477.44,LTBP4,latent transforming growth factor beta binding protein 4
2340,2362,100506826,0.00158,0.000161,0.3052,-3.77304,-1.1514722,95.95,MYLK-AS1,MYLK antisense RNA 1
2343,2365,55799,0.00159,0.000162,0.5674,-3.771494,-2.139791,92.14,CACNA2D3,calcium voltage-gated channel auxiliary subunit alpha2delta 3
2344,2366,101928545,0.00159,0.000163,0.3187,-3.770089,-1.2013959,58.08,SEPTIN7-DT,SEPTIN7 divergent transcript
2347,2369,791115,0.0016,0.000164,1.1255,-3.76893,-4.2421183,14.13,PWRN2,Prader-Willi region non-protein coding RNA 2
2352,2374,178,0.00161,0.000166,0.1726,-3.766528,-0.6502145,2068.91,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
2354,2376,102723415,0.00161,0.000166,0.3966,-3.766261,-1.4937972,148.06,LOC102723415,replaced by ID 79667
2355,2377,101929685,0.00161,0.000166,1.2361,-3.766313,-4.6555156,43.27,LNCNEF,lncRNA neighboring enhancer of FOXA2
2356,2378,112267983,0.00162,0.000166,0.5102,-3.765213,-1.920988,37.54,CDK13-DT,CDK13 divergent transcript
2361,2383,84698,0.00165,0.000171,0.3175,-3.758948,-1.1935476,379.77,CAPS2,calcyphosine 2
2363,2386,64288,0.00166,0.000172,0.3341,-3.757529,-1.2552877,1450.18,ZSCAN31,zinc finger and SCAN domain containing 31
2364,2387,56648,0.00167,0.000172,0.279,-3.756787,-1.0482701,170.1,EIF5A2,eukaryotic translation initiation factor 5A2
2365,2388,401478,0.00167,0.000172,0.8963,-3.756551,-3.3669936,28.04,LOC401478,uncharacterized LOC401478
2369,2392,220382,0.00168,0.000174,0.7172,-3.753802,-2.6920797,18.17,FAM181B,family with sequence similarity 181 member B
2372,2395,55753,0.0017,0.000176,0.567,-3.751649,-2.1270714,1211.57,OGDHL,oxoglutarate dehydrogenase L
2376,2399,102724355,0.00171,0.000178,0.8747,-3.74905,-3.2791933,15.11,LOC102724355,uncharacterized LOC102724355
2378,2401,79844,0.00171,0.000178,0.3789,-3.748379,-1.4201911,213.96,ZDHHC11,zinc finger DHHC-type containing 11
2379,2402,6508,0.00172,0.000178,0.3169,-3.747892,-1.1875313,47.96,SLC4A3,solute carrier family 4 member 3
2380,2403,25924,0.00172,0.000178,0.2885,-3.747787,-1.0813283,277.17,MYRIP,myosin VIIA and Rab interacting protein
2381,2404,85301,0.00172,0.000178,0.3353,-3.747809,-1.2567528,426.23,COL27A1,collagen type XXVII alpha 1 chain
2383,2406,123103,0.00172,0.000179,0.5036,-3.747023,-1.8868878,23.97,KLHL33,kelch like family member 33
2384,2407,101928068,0.00173,0.000181,0.331,-3.744706,-1.2394111,112.46,LOC101928068,uncharacterized LOC101928068
2385,2408,256764,0.00174,0.000181,0.4982,-3.744173,-1.8653112,5717.14,WDR72,WD repeat domain 72
2386,2410,29896,0.00174,0.000181,0.1395,-3.743747,-0.5223602,2545.95,TRA2A,transformer 2 alpha homolog
2387,2411,107984428,0.00174,0.000182,0.3706,-3.743231,-1.3873287,361.07,LOC107984428,uncharacterized LOC107984428
2390,2414,27112,0.00176,0.000184,0.8827,-3.740502,-3.3018192,464.03,NALF2,NALCN channel auxiliary factor 2
2391,2415,105371933,0.00176,0.000184,0.3667,-3.740094,-1.3714125,79.99,LOC105371933,uncharacterized LOC105371933
2393,2417,220164,0.00177,0.000185,0.396,-3.738207,-1.4803933,199.91,DOK6,docking protein 6
2395,2419,105373138,0.00177,0.000186,0.4194,-3.737617,-1.5674241,32.94,LOC105373138,replaced by ID 54960
2396,2420,54596,0.00178,0.000186,0.7829,-3.737272,-2.9259332,14.35,L1TD1,LINE1 type transposase domain containing 1
2402,2426,100506235,0.00179,0.000188,0.2493,-3.734958,-0.9310984,54.41,LOC100506235,uncharacterized LOC100506235
2403,2427,3699,0.00179,0.000188,0.5731,-3.734565,-2.140357,32.76,ITIH3,inter-alpha-trypsin inhibitor heavy chain 3
2405,2429,112268106,0.00179,0.000188,1.0852,-3.734079,-4.0522448,54.17,LOC112268106,uncharacterized LOC112268106
2406,2430,283849,0.00179,0.000188,0.2431,-3.733956,-0.907862,74.61,EXOC3L1,exocyst complex component 3 like 1
2407,2431,105378796,0.00179,0.000189,0.6162,-3.733321,-2.300476,39.37,LOC105378796,uncharacterized LOC105378796
2409,2433,388336,0.00179,0.000189,0.4622,-3.73336,-1.7255865,69.7,SHISA6,shisa family member 6
2410,2435,101927969,0.0018,0.000189,0.3776,-3.732829,-1.4096928,141.73,SLIT3-AS2,SLIT3 antisense RNA 2
2413,2438,23253,0.0018,0.00019,0.2423,-3.732351,-0.9042018,3052.6,ANKRD12,ankyrin repeat domain 12
2415,2440,10580,0.00181,0.000191,0.4221,-3.730466,-1.5747843,697.48,SORBS1,sorbin and SH3 domain containing 1
2417,2442,100874243,0.00183,0.000193,0.3964,-3.7278,-1.4777206,222.26,PRICKLE2-AS3,PRICKLE2 antisense RNA 3
2418,2443,219578,0.00183,0.000193,1.2966,-3.727407,-4.8331136,703.17,ZNF804B,zinc finger protein 804B
2419,2444,102723862,0.00183,0.000194,0.5507,-3.727305,-2.0525855,16.04,LOC102723862,uncharacterized LOC102723862
2423,2448,100151683,0.00183,0.000194,0.498,-3.726733,-1.8559222,25.32,RNU4ATAC,"RNA, U4atac small nuclear"
2424,2449,112268445,0.00183,0.000194,0.7906,-3.726552,-2.946247,27.25,LOC112268445,uncharacterized LOC112268445
2429,2454,105369591,0.00185,0.000196,0.955,-3.72352,-3.5558747,33.03,LOC105369591,uncharacterized LOC105369591
2431,2456,105374419,0.00186,0.000198,0.632,-3.721981,-2.3524343,13.14,SMIM14-DT,SMIM14 divergent transcript
2433,2459,102724055,0.00186,0.000198,0.6161,-3.721657,-2.2928708,90.26,LOC102724055,replaced by ID 105370751
2435,2462,100996876,0.00188,0.0002,0.601,-3.718764,-2.2348588,12.06,RORA-AS2,RORA antisense RNA 2
2436,2463,100616441,0.00188,0.000201,0.65,-3.718114,-2.4166471,10.59,MIR4474,microRNA 4474
2438,2465,100861549,0.00189,0.000202,0.6135,-3.716628,-2.2803272,22.32,LINC00562,long intergenic non-protein coding RNA 562
2444,2471,84146,0.0019,0.000204,0.1742,-3.714604,-0.6471147,3686.56,ZNF644,zinc finger protein 644
2445,2472,80736,0.00191,0.000204,0.5574,-3.714044,-2.0702091,65.83,SLC44A4,solute carrier family 44 member 4
2453,2480,107985251,0.00194,0.000208,0.3924,-3.709407,-1.4554121,44.37,LOC107985251,uncharacterized LOC107985251
2455,2482,105376722,0.00194,0.000209,0.5305,-3.708223,-1.9673965,36.88,LOC105376722,uncharacterized LOC105376722
2459,2487,100874012,0.00195,0.00021,0.3656,-3.706243,-1.355055,402.77,NAV2-AS5,NAV2 antisense RNA 5
2461,2489,105369594,0.00197,0.000212,0.3161,-3.704539,-1.1708645,31.77,LOC105369594,uncharacterized LOC105369594
2463,2491,105373611,0.00198,0.000213,0.6466,-3.703027,-2.3941968,17.11,LOC105373611,uncharacterized LOC105373611
2465,2494,2844,0.00198,0.000213,0.2771,-3.702887,-1.0259088,548.22,GPR21,G protein-coupled receptor 21
2468,2497,253724,0.00198,0.000214,0.3516,-3.701973,-1.301664,155.25,TTC41P,"tetratricopeptide repeat domain 41, pseudogene"
2469,2499,57562,0.00199,0.000215,0.3268,-3.701148,-1.2094518,450.72,CEP126,centrosomal protein 126
2471,2501,105375235,0.00199,0.000215,0.6556,-3.70069,-2.4261952,298.7,LOC105375235,uncharacterized LOC105375235
2472,2502,374864,0.002,0.000216,0.7905,-3.699379,-2.9243589,34.21,CCDC178,coiled-coil domain containing 178
2475,2505,7066,0.00201,0.000218,0.8887,-3.697534,-3.2859209,8.9,THPO,thrombopoietin
2477,2507,146225,0.00201,0.000218,0.489,-3.697074,-1.8077636,34.62,CMTM2,CKLF like MARVEL transmembrane domain containing 2
2478,2508,105374580,0.00202,0.000219,0.4633,-3.69637,-1.7123984,38.87,PRKCE-AS1,PRKCE antisense RNA 1
2483,2513,2042,0.00203,0.000221,0.5888,-3.694146,-2.1751632,2131.61,EPHA3,EPH receptor A3
2484,2514,286083,0.00204,0.000222,0.8243,-3.692515,-3.0435674,21.62,LOC286083,uncharacterized LOC286083
2487,2518,9348,0.00209,0.000227,0.4096,-3.68662,-1.5100787,63.24,NDST3,N-deacetylase and N-sulfotransferase 3
2488,2519,57512,0.00209,0.000228,0.8022,-3.685908,-2.9569547,30.74,GPR158,G protein-coupled receptor 158
2490,2521,4130,0.0021,0.000229,0.4315,-3.684916,-1.5900024,683.64,MAP1A,microtubule associated protein 1A
2492,2523,56903,0.0021,0.000229,0.8863,-3.6842,-3.2654637,32.33,PAPOLB,poly(A) polymerase beta
2493,2524,100506686,0.0021,0.00023,0.2606,-3.683864,-0.9598915,399.88,IQCH-AS1,IQCH antisense RNA 1
2494,2525,6060,0.0021,0.00023,0.3353,-3.683749,-1.2350924,91.87,RNU1-4,"RNA, U1 small nuclear 4"
2495,2526,105371880,0.0021,0.00023,0.6963,-3.683619,-2.5648542,41.91,LOC105371880,uncharacterized LOC105371880
2496,2527,199221,0.00211,0.000231,0.404,-3.682806,-1.4877788,428.26,DZIP1L,DAZ interacting zinc finger protein 1 like
2497,2529,27345,0.00212,0.000232,0.3288,-3.681715,-1.2105644,267.82,KCNMB4,potassium calcium-activated channel subfamily M regulatory beta subunit 4
2499,2531,338596,0.00212,0.000233,0.3913,-3.680754,-1.4404291,91.33,ST8SIA6,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6"
2501,2533,107984689,0.00213,0.000234,0.5578,-3.67919,-2.0523786,67.57,LOC107984689,replaced by ID 107984690
